5,0x005900EE,Fensterfarbe
6,0x005900FD,Sound
7,0x0059012C,Kontroller
8,0x00590167,Cursor
9,0x00590199,ATB
10,0x005901CC,Kampftempo
11,0x00590209,Kampfmeldung
12,0x00590241,Feldmeldung
13,0x00590276,Kamerawinkel
14,0x005902AD,Auswählen
15,0x005902E0,Abbrechen
16,0x00590316,Menü
24,0x00590607,Auto
25,0x0059063B,Fest
29,0x005907F2,Heilung
30,0x00590824,Angriff
31,0x0059085A,Indirekt
38,0x00590B00,Objekt
39,0x00590B14,Zauber
40,0x00590B28,Materia
41,0x00590B3C,Ausrüsten
42,0x00590CA1,Status
43,0x00590CB0,Anordnung
44,0x00590CBF,Limit
45,0x00590B8C,Konfig
46,0x00590CDB,PHS
47,0x00590BB4,Speichern
48,0x00590BC8,Verlassen
49,0x00590D3A,Anfänger
50,0x00590D77,Zeit
51,0x00590D85,Gil
