index,offset,text,padding_bytes,text_bytes,total_bytes
89,0x5911FC,"[UMSCHALTEN]",53,12,65
90,0x591238,"[BILD HOCH]",47,11,58
91,0x591274,"[BILD HERUNTER]",48,15,63
92,0x5912B0,"[KAMERA]",44,8,52
93,0x5912EC,"[ZIEL]",51,6,57
94,0x591328,"[HILFE]",53,7,60
95,0x591364,"[START]",52,7,59
96,0x5913A0,"[HERAUF]",52,8,60
97,0x5913DC,"[UNTEN]",51,7,58
98,0x591418,"[LINKS]",52,7,59
99,0x591454,"[RECHT]",52,7,59
100,0x591490,"TASTATUR",52,8,60
101,0x5914CC,"JOYSTICK",51,8,59
102,0x591508,"£@ @ @ @ @ @ @ @ @ @ @ @ @ @ @ @ @ @ @ @ @ @ @ @ @ @ @ @ @ $A 0A 4A 8A <A @A DA HA LA PA TA XA \A `A pA tA xA |A A ãA éA íA ñA £A A A A A A A A A A A A A A A A A A A A A A $B ,B 4B <B DB LB TB \B dB lB xB B éB ñB õB £B B B B B B B B B B B B B B B B B B B $C ,C 4C <C DC LC TC \C dC lC tC |C ãC íC õC C C C C C C C C C C C C C C C C C $D ,D <D DD LD XD \D dD pD xD D ãD ñD £D D D D D D D D D D D D D D D D  E (E 0E 8E @E HE PE XE `E hE pE |E ãE íE õE E E E E E E E E E E E E E E E E  F (F 0F 8F @F HF PF XF `F lF xF F éF ñF £F F F F F F F F F F F F F F F $G ,G 4G <G DG LG TG `G lG xG ãG ñG G G G G G    k   @      ã   `         0                  $         (         !         ""      3!   !     L!   (     e!   0     ~!   `     •!        !   @  !  k   @   !  ã   `   !     0   !        !     $   !     (   !     !   !     ""   !  3!   !  !  L!   (  !  e!   0  !  ~!   `  !  •!     !  !   @  ''%'&'$'#' '!'""'('    )'%&$'""# !(+          ""S   S ""!    `!:   : `! keines  esc Q   R   S   T   U   V   W   X   Y   P      apostrophe  rcktaste   tab q   w   e   r   t   z   u   i   o   p      K   eingabe linke@strg  a   s   d   f   g   h   j   k   l         ~   linker@shift    C   y   x   c   v   b   n   m   komma   punkt   minus   rechter@shift   mal alt leertaste   caps    fQ  fR  fS  fT  fU  fV  fW  fX  fY  fQP numlock scroll  numN@W  numN@X  numN@Y  minus   numN@T  numN@U  numN@V  plus    numN@Q  numN@R  numN@S  numN@P  numN@entf   keines  keines  keines  fQQ fQR keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  fQS fQT fQU keines  keines  keines  keines  keines  keines  keines  keines  keines  kana    keines  keines  keines  keines  keines  keines  keines  keines  convert keines  noconvert   keines  yen keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  numpadequals    keines  keines  circumflex  at  colon   underline   kanji   stop    ax  unlabeled   keines  keines  keines  keines  numN@enter  rechte@strg keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  numN@komma  keines  geteilt keines  prtN@scrn   alt@gr  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  pos@Q   hoch    bN@hoch keines  links   keines  rechts  keines  ende    herunter    bN@runter   einfg   entf    keines  keines  keines  keines  keines  keines  keines  linker@win  rechter@win apps    keines  mousebQ    mousebR    mousebS    keines  hoch    runter  links   rechtes keines  keines  keines  keines  button@Q    button@R    button@S    button@T    button@U    button@V    button@W    button@X    button@Y    button@QP   keines  EôÜÜWèîñõNâÜç  EôÜÜWèîñõNâÜç",51,3276,3327
103,0x5921D8,"""   ëåõâRáNõèì ëåõâRàNõèì öåîèéNõèì  âïíïáNõèì   âïíïàNõèì   âïíïâNõèì   ëåõâRNõèì  öåîèNõèì    âïíïNõèì    cZ|ffW|ôòâ|ìåî|àõíìåî|çåòìáî|âáííàáâëNâññ ôÜïîõáíNõèì  ôÜïîõàíNõèì  àõí•èîáíNõèì àõí•èîàíNõèì àõí•èîâíNõèì àõí•èîãíNõèì ôÜïîõíNõèì    àõí•èîíNõèì       H          (8!    0  0   88!0 ""  (   0 ( ""  8   0 ( ""  H   0 ( ""  X   0 ( ""  h   0 ( ""  x   0 ( ""  é   0 ( ""  £   0 ( ""     0 ( ""     0 ( ""     0 ( ""     0 ( ""     0 ( ""     0 ( ""     0 ( ""     0 ( ""  (!  0 ( "" 0( 0 0 ( "" 08 0 0 ( "" 0H 0 0 ( "" 0X 0 0 ( "" 0h 0 0 ( "" 0x 0 0 ( "" 0é 0 0 ( "" 0£ 0 0 ( "" 0 0 0 ( "" 0 0 0 ( "" 0 0 0 ( "" 0 0 0 ( "" 0 0 0 ( "" 0 0 0 ( "" 0 0 0 ( "" 0 0 0 ( "" 0(!0 0 (      (   88!(       4          (£     0  0   8£ 0 ""  (   0 ( ""  8   0 ( ""  H   0 ( ""  X   0 ( ""  h   0 ( ""  x   0 ( ""  é   0 ( "" 0( 0 0 ( "" 08 0 0 ( "" 0H 0 0 ( "" 0X 0 0 ( "" 0h 0 0 ( "" 0x 0 0 ( "" 0é 0 0 (      (   8£ (       L          (X!    0  0   8X!0 ""  (   0 ( ""  8   0 ( ""  H   0 ( ""  X   0 ( ""  h   0 ( ""  x   0 ( ""  é   0 ( ""  £   0 ( ""     0 ( ""     0 ( ""     0 ( ""     0 ( ""     0 ( ""     0 ( ""     0 ( ""     0 ( ""  (!  0 ( "" 0( 0 0 ( "" 08 0 0 ( "" 0H 0 0 ( "" 0X 0 0 ( "" 0h 0 0 ( "" 0x 0 0 ( "" 0é 0 0 ( "" 0£ 0 0 ( "" 0 0 0 ( "" 0 0 0 ( "" 0 0 0 ( "" 0 0 0 ( "" 0 0 0 ( "" 0 0 0 ( "" 0 0 0 ( "" 0 0 0 ( "" 0(!0 0 (      (   8X!( ""  8!  0 ( ""  H!  0 ( "" 08!0 0 ( "" 0H!0 0 (         l!""ñ         ""     2!ñ 2!  ""ñ                                                                                                                     t!î ñ         !     ñ ñ                                                                                                                            P t!£ P         !     £ P                                                                                                                            P t!£ P         !     £ P                                                                                                                              |!""ñ         ""     !ñ !  ""ñ                                                                                                                      |!""ñ         !     ""ñ                                                                                                                              |!""ñ         ""     !ñ !  ""ñ                                                                                                                      |!""ñ         ""     !ñ !  ""ñ                                                                                                                      l!""£                                                                                                                                                |!""£         !     ""£                                                                                                                              l!""£                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ã t!!ñ         !      ñ                                                                                                                            ã |!h!õ         !     h!õ                                                                                                                             ã!!ñ     @ ñ !     !ñ                                                                                                                             0  !P         !      !P                                                                                                                           J   <!""P         !     ""P                                                                                                                           K  |!0!ñ         !     0!ñ                                                                                                                            @ 0 `""P         !     `""P                                                                                                                           H   |!""ñ         !     ""ñ                                                                                                                           H   |!""ñ         !     ""ñ                                                                                                                           H   |!""ñ         !     ""ñ                                                                                                                           H    `!X         ""      X    `!X                                                                                                                    h  W X         !     X X                                                                                                                            8  X 8         !     X 8                                                                                                                            8  X 8         !     X 8                                                                                                                               `!X         ""      X    `!X                                                                                                                       `!X         !     `!X                                                                                                                               `!X         ""      X    `!X                                                                                                                       `!X         ""      X    `!X                                                                                                                       `!\                                                                                                                                                 `!\         !     `!\                                                                                                                               `!\                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      H   X         !     £ X                                                                                                                            R   Z         !      Z                                                                                                                            p   X     0 X !      X                                                                                                                             (  8         !      8                                                                                                                           J    `!8         !     `!8                                                                                                                           K p   X         !      X                                                                                                                            0 ( @!8         !     @!8                                                                                                                           H    `!X         !     `!X                                                                                                                           H    `!X         !     `!X                                                                                                                           H    `!X         !     `!X                                                                                                                           H 9_   _^^^^^^    ^                                       _^^        ^    ^^^                    mX° \° i° j° 9n° )d° f° k° OX° Aw° OX°",0,10484,10484
104,0x594ACD,"Z° ^X° OX° OX° p° OX° OX° OX° nV°",0,35,35
105,0x594AF1,"Z° ^X° OX° OX° p° OX° ët° és° äu° OX° OX° OX° rX° ]° i° j° o° d° g° ol° YX° w° YX° D[° cX° YX° YX° {r° YX° YX° YX° V° D[° cX° YX° YX° {r° YX° t° òs° u° YX° YX° YX° Z° $d° j° k° p° f° i° 4n° TX° TX° TX° \° hX° TX° TX° âs° TX° TX° TX° JX° \° hX° TX° TX° âs° TX° åu° Üt° <w° TX° TX° TX°",0,303,303
106,0x594C28,"0G#ã * !        !""#%",4,21,25
107,0x594C48,"Pause",7,5,12
108,0x594C50,"ß  Z!!\ ì   Xx£ <L\ x""  \   *   !     _    ã",2,65,67
109,0x594C9E,"ã",12,1,13
110,0x594CAC,"Schlaf",12,6,18
111,0x594CBA,"Gift",7,4,11
112,0x594CC8,"Traurigkeit",9,11,20
113,0x594CD6,"Zorn",2,4,6
114,0x594CE4,"Verwirrung",9,10,19
115,0x594CF2,"Stummheit",3,9,12
116,0x594D00,"Schnell",4,7,11
117,0x594D0E,"Langsam",6,7,13
118,0x594D1C,"Stop",6,4,10
119,0x594D2A,"ã",9,1,10
120,0x594D38,"ã",12,1,13
121,0x594D46,"ã",12,1,13
122,0x594D54,"Versteinerung",12,13,25
123,0x594D62,"regen",0,5,5
124,0x594D70,"ã",8,1,9
125,0x594D7E,"ã",12,1,13
126,0x594D8C,"Reflektieren",12,12,24
127,0x594D9A,"Doppel",1,6,7
128,0x594DA8,"Schild",7,6,13
129,0x594DB6,"ã",7,1,8
130,0x594DC4,"ã",12,1,13
131,0x594DD2,"Toll",12,4,16
132,0x594DE0,"Einzigartig",9,11,20
133,0x594DEE,"Lähmung",2,7,9
134,0x594DFC,"Dunkelheit",6,10,16
135,0x594E0A,"ã",3,1,4
136,0x594E18,"ã",12,1,13
137,0x594E26,"ã",12,1,13
138,0x594E34,"ã",12,1,13
139,0x594E42,"ã",12,1,13
140,0x594E50,"$             `  `   Rrò `hpx9IY     Wieviel willst du ausgeben?",12,83,95
141,0x594EA4,"Gil",0,3,3
142,0x594EA8,"Nach",0,4,4
143,0x594EB0,"Gil auf der Hand",3,16,19
144,0x594EC8,"""%$#!""$ !#%""$ %!!""$ ""!#%$ ""!%$""#""$#""!$ %""!#""$!""%  `   ñ @ ñ ` ñ    @  `      @ `   ñ @ ñ ` ñ    @  `      ` `   ñ @ ñ ` ñ    @  `             `       `        `      `       `              `       `        ""$(0    !""""""""!!!!!!!!!!!! """""" !!!!!!!!!!                !! """" !!!!!!!!!!!!! """"  !!!!!!!!                !!!  "" "" !!!!!!!!!!!  "" ""  !!!!!                !!!!   ""    !!!!""#$%&')())( -*+)      !,Weiter?",7,439,446
145,0x595080,"Ja     Nein",0,11,11
146,0x595090,"Vorhandene Schlachtpunkte",4,25,29
147,0x5950AA,"Schlitzstart!",0,13,13
148,0x5950C4,"TOLL!!",12,6,18
149,0x5950DE,"Gewonnene Schlachtpunkte",19,24,43
150,0x5950F8,"Ok, dann los!",1,13,14
151,0x595117,"Zaubersubstanz kaputt.",17,24,41
152,0x595136,"Aufrufsubstanz kaputt.",6,24,30
153,0x595155,"Support-Substanz kaputt.",6,26,32
154,0x595174,"Unabhängige Substanz kaputt.",4,30,34
155,0x595193,"Befehlssubstanz kaputt.",0,25,25
156,0x5951B2,"Alle Substanz kaputt.",5,23,28
157,0x5951D1,"Zubehör kaputt.",7,17,24
158,0x5951F0,"Objektbefehl ist versiegelt.",13,30,43
159,0x59520F,"Rüstzeug kaputt.",0,18,18
160,0x59522E,"Waffe kaputt.",12,15,27
161,0x59524D,"1/2 Geschwindigkeit.",15,22,37
162,0x59526C,"1/2 Genauigkeit.",8,18,26
163,0x59528B,"Minimum",12,9,21
164,0x5952AA,"Gift",21,6,27
165,0x5952C9,"Kröte",24,7,31
166,0x5952E8,"Zeit x30 Schaden.",23,19,42
167,0x595307,"5 Ebenen zurück.",11,18,29
168,0x595326,"10 Ebenen zurück.",12,19,31
169,0x595345,"1/2 HP.",11,9,20
170,0x595364,"1/2 MP.",21,9,30
171,0x595383,"1/2 HP&MP.",21,12,33
172,0x5953A2,"Null MP.",18,10,28
173,0x5953C1,"Jaa! Keine Behinderung!!",20,26,46
174,0x5953E0,"HP wiederhergestellt.",4,23,27
175,0x595400,"Besorgt um die anderen Mitglieder?",8,34,42
176,0x595423,"Ja, ein bichen",0,15,15
177,0x595446,"Eigentlich nicht",19,16,35
178,0x595480,"4      £   ""   !   &   &   !   !       x   p  @   x    p  @    GWXWsiW:zWx""  \   *   !    `b/ ! 0G  #  ã   *   !   '   `",6,144,150
179,0x595514,"/",0,4,4
180,0x595524,"""S   S ""!sè7áè",8,18,26
181,0x595538,"$   #   ""   !",1,16,17
182,0x595558,"QRSTUVWXYZ[\]^`adefgh   jklmnopqrstuvwxyDEGHIJK qu      +! ë c   [!  ç V B v r  l   o!å l   S Speichern",0,113,113
183,0x5955D8,"!)  m t!v L!S     ""  % j G  K  :     `!e !   S    j : Eôôá°åOôá°åEPRãNÜÜW     Reformieren",14,99,113
184,0x595656,"Mitglieden in zwei Gruppen aufteilen",26,36,62
185,0x59567C,"Mitglieder in drei Gruppen aufteilen",1,36,37
186,0x5956A2,"Gruppe aus zwei Personen bilden",1,31,32
187,0x5956C8,"Gruppe aus drei Personen bilden",6,31,37
188,0x5956EE,"Auswählen mit [START]-Taste",6,27,33
189,0x595718,"Element",14,7,21
190,0x59572E,"Effekt",14,6,20
191,0x595744,"Angreifen",15,9,24
192,0x59575A,"Verteidigen",12,11,23
193,0x595770,"Halbieren",10,9,19
194,0x595786,"Ungültig",12,8,20
195,0x59579C,"Absorbieren",13,11,24
196,0x5957F4,"Stärke",21,6,27
197,0x59580A,"Geschick",15,8,23
198,0x595820,"Vitalität",13,9,22
199,0x595836,"Zauber",12,6,18
200,0x59584C,"Moral",15,5,20
201,0x595862,"Glück",16,5,21
202,0x595878,"Angreifen",16,9,25
203,0x59588E,"Angreifen %",12,11,23
204,0x5958A4,"Verteidigen",10,11,21
205,0x5958BA,"Verteidigen %",10,13,23
206,0x5958D0,"Zbrangrf",8,8,16
207,0x5958E6,"Zbrvertdg",13,9,22
208,0x5958FC,"Zbrvertdg %",12,11,23
209,0x595912,"Waf.",10,4,14
210,0x595928,"Rüs.",17,4,21
211,0x59593E,"Acc.",17,4,21
212,0x595954,"Limit-Ebene",17,11,28
213,0x595978,"!   S    j :     ""S   S S!!S!S m!£ S! m!]!    `!:   :    :  \  r   STUFE 1",4,87,91
214,0x5959E8,"STUFE 2",24,7,31
215,0x595A08,"STUFE 3",24,7,31
216,0x595A28,"STUFE 4",24,7,31
217,0x595A48,"LIMIT-STUFE einrichten.",24,23,47
218,0x595A68,"Einrichten",8,10,18
219,0x595A88,"Prüfen",21,6,27
220,0x595AA8,"Bei nderung der STUFE",25,22,47
221,0x595AC8,"Beginn bei Limit-Punkt 0.",9,25,34
222,0x595AE8,"STUFE ändern?",6,13,19
223,0x595B08,"Ja",18,2,20
224,0x595B28,"Nein",29,4,33
225,0x595B48,"Limit gewählt!",27,14,41
226,0x595B68,"STUFE wählen",17,12,29
227,0x595B94,"R R 3 1P",0,8,8
228,0x595BB0,"T T 3!1T",0,8,8
229,0x595BB9,"_",0,1,1
230,0x595BBF,"""",3,3,6
231,0x595BCC,"S S 3""1X",0,8,8
232,0x595BD6,":ö",0,2,2
233,0x595BE8,"U U 3#1f",0,8,8
234,0x595C04,"V V $1:",0,8,8
235,0x595C0F,"&",1,1,2
236,0x595C20,"Y Y 7%1",0,8,8
237,0x595C29,"_8£!",0,9,9
238,0x595C3C,"[ \ &1,",0,8,8
239,0x595C47,"/",1,1,2
240,0x595C58,"f f 3'1T",0,8,8
241,0x595C74,"h h 7(1V",0,8,8
242,0x595C90,"i i 3)C@",0,8,8
243,0x595CA0,"@",0,3,3
244,0x595CAC,"k k 3*1",0,8,8
245,0x595CB5,"_",0,1,1
246,0x595CB8,"!",0,6,6
247,0x595CC8,"m m 7+1C",0,8,8
248,0x595CE4,"n n ,1(",0,8,8
249,0x595CEF,"2",1,1,2
250,0x595D00,"o o -14",0,8,8
251,0x595D0B,"*",1,1,2
252,0x595D1C,"z z 5.D0",0,8,8
253,0x595D2D,"""",1,1,2
254,0x595D38,"{ { 7/B",0,8,8
255,0x595D41,"_",0,1,1
256,0x595D44,"$",0,6,6
257,0x595D54,"~ ~ 50B",0,8,8
258,0x595D5D,"ü",0,1,1
259,0x595D60,"ßV",0,6,6
260,0x595D70,"à à 51",0,7,7
261,0x595D7A,"4",0,1,1
262,0x595D8C,"52B",0,8,8
263,0x595D95,"_",0,1,1
264,0x595D9B,"!",3,3,6
265,0x595DA8,"á á 53(@",0,8,8
266,0x595DB1,"ü",0,1,1
267,0x595DB4,"!    """,0,6,6
268,0x595DC4,"â â 54(@",0,8,8
269,0x595DCD,"_",0,1,1
270,0x595DD3,"! """,3,3,6
271,0x595DE0,"^ ^ 54",0,8,8
272,0x595DEA,"3",0,1,1
273,0x595DFC,"b b 56",0,8,8
274,0x595E06,"3",0,1,1
275,0x595E18,"` ` 58",0,8,8
276,0x595E22,"3",0,1,1
277,0x595E34,"a a 5:",0,8,8
278,0x595E3E,"3",0,1,1
279,0x595E50,"c c 5<",0,8,8
280,0x595E5A,"3",0,1,1
281,0x595E6C,"d d 5>",0,8,8
282,0x595E76,"3",0,1,1
283,0x595E88,"e e 5J",0,8,8
284,0x595E92,"3",0,1,1
285,0x595EA4,"ã ã 3<1T",0,8,8
286,0x595EC0,"å å 3=14",0,8,8
287,0x595EDC,"ç ç 7>1X",0,8,8
288,0x595EE5,"%",0,1,1
289,0x595EE8,"!",0,6,6
290,0x595EF8,"é é 7?1D",0,8,8
291,0x595F14,"ä ä @17",0,8,8
292,0x595F1D,"' &!",0,9,9
293,0x595F30,"í í A12",0,8,8
294,0x595F3B,"(",1,1,2
295,0x595F4C,"ì ì B1+",0,8,8
296,0x595F57,"2",1,1,2
297,0x595F61,"G",0,2,2
298,0x595F66,"C p p 3C1P",2,10,12
299,0x595F84,"q q  DB",0,8,8
300,0x595F8D,"_7 !",0,9,9
301,0x595FA0,"s s 3E14",0,8,8
302,0x595FBC,"u u F1*",0,8,8
303,0x595FC7,"*",1,1,2
304,0x595FD8,"v v 5GB",0,8,8
305,0x595FE1,"_6 !",0,9,9
306,0x595FF4,"x x H1>",0,8,8
307,0x595FFF,"%",1,1,2
308,0x596010,"y y 7I1",0,8,8
309,0x59602C,"£ £ 3Jé",0,7,7
310,0x596048,"3f1",0,7,7
311,0x596052,"(",0,1,1
312,0x596064,"ö ö 7L",0,7,7
313,0x59606E,"/",0,1,1
314,0x596080,"M",0,7,7
315,0x59608A,"#",0,2,2
316,0x59609C,"N",0,7,7
317,0x5960A6,"#!",0,2,2
318,0x5960B8,"O",0,7,7
319,0x5960C2,"#""",0,2,2
320,0x5960D4,"P",0,7,7
321,0x5960DE,"##",0,2,2
322,0x5960F0,"î î 3Q1R",0,8,8
323,0x59610C,"ô ô 5RD0",0,8,8
324,0x59611D,"""",1,1,2
325,0x596128,"ó ó 7S1P",0,8,8
326,0x596138,"(",0,2,2
327,0x596144,"ò ò T1*",0,8,8
328,0x59614F,"*",1,1,2
329,0x596160,"õ õ 7U1<",0,8,8
330,0x59617C,"° ° V1*",0,8,8
331,0x596187,"/",1,1,2
332,0x596198,"• • 7W1",0,8,8
333,0x5961B4,"ß ß 5XB",0,8,8
334,0x5961BE,"0",0,1,1
335,0x5961D0,"5Y(@",0,8,8
336,0x5961E1,"""",1,1,2
337,0x5961EC,"7Z1p",0,8,8
338,0x596208,"5[B",0,8,8
339,0x596211,"_",0,1,1
340,0x596217,"`",3,3,6
341,0x596224,"5\B",0,8,8
342,0x59622D,"_",0,1,1
343,0x596230,"!     ü",0,7,7
344,0x596240,"7]B",0,8,8
345,0x596249,"_",0,1,1
346,0x59624C,"!     ü",0,7,7
347,0x596254,"£E",0,3,3
348,0x59625A,"C ü ü 3",2,7,9
349,0x596262,"18",0,2,2
350,0x596270,"ã",0,1,1
351,0x596278,"7_B\",0,8,8
352,0x596288,"!",0,2,2
353,0x59628C,"£L",0,3,3
354,0x596292,"4   3",2,7,9
355,0x59629A,"1J",0,2,2
356,0x5962A8,"ã",0,1,1
357,0x5962B0,"7aBf",0,8,8
358,0x5962C0,"$",0,2,2
359,0x5962C4,"£C",0,3,3
360,0x5962CA,"3",2,7,9
361,0x5962D2,"1(",0,2,2
362,0x5962D7,"%",1,1,2
363,0x5962E0,"ã",0,1,1
364,0x5962E8,"3cB",0,8,8
365,0x5962F1,"_",0,1,1
366,0x5962F4,"8",0,6,6
367,0x5962FC,"£9",0,3,3
368,0x596302,"!  7",2,7,9
369,0x59630A,"1H",0,2,2
370,0x596318,"ã",0,1,1
371,0x596320,"7eB",0,8,8
372,0x596329,"'8!",0,9,9
373,0x596340,"7m1R",0,4,4
374,0x596350,"ã",0,1,1
375,0x59635C,"7nBz",0,4,4
376,0x596378,"6o10",0,4,4
377,0x596385,"`",1,1,2
378,0x59699C,"""£   £ ""S    ""]! ^ [!     `!\   \ `!:   q `! q ?  y",8,60,68
379,0x5969E4,"""S   S ""!sè7áè",8,18,26
380,0x5969F8,"Hitze",1,5,6
381,0x596A04,"Kälte",6,5,11
382,0x596A10,"Gewitter",6,8,14
383,0x596A1C,"Erde",3,4,7
384,0x596A28,"Gift",7,4,11
385,0x596A34,"Schwerkraft",7,11,18
386,0x596A40,"Wasser",0,6,6
387,0x596A4C,"Wind",5,4,9
388,0x596A58,"Heilig",7,6,13
389,0x596A68,"Tod",9,3,12
390,0x596A7C,"Gefahr",16,6,22
391,0x596A90,"Schlaf",13,6,19
392,0x596AA4,"Gift",13,4,17
393,0x596AB8,"Trauer",15,6,21
394,0x596ACC,"Zorn",13,4,17
395,0x596AE0,"Psycho",15,6,21
