index,offset,byte_length,decoded_length,text,hex_bytes
10,0x5901CC,60,60,"                                                  Kampftempo",00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002b414d504654454d504f
11,0x590209,55,55,"                                           Kampfmeldung",000000000000000000000000000000000000000000000000000000000000000000000000000000000000002b414d50464d454c44554e47
12,0x590241,52,52,"                                         Feldmeldung",000000000000000000000000000000000000000000000000000000000000000000000000000000000026454c444d454c44554e47
13,0x590276,54,54,"                                          Kamerawinkel",0000000000000000000000000000000000000000000000000000000000000000000000000000000000002b414d45524157494e4b454c
14,0x5902AD,50,50,"                                         Auswählen",0000000000000000000000000000000000000000000000000000000000000000000000000000000000215553576a484c454e
15,0x5902E0,53,53,"                                            Abbrechen",000000000000000000000000000000000000000000000000000000000000000000000000000000000000000021424252454348454e
16,0x590316,48,48,"                                            Menü",00000000000000000000000000000000000000000000000000000000000000000000000000000000000000002d454e7f
17,0x590347,60,60,"                                                 Fenster AUS",0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000026454e5354455200213533
18,0x590384,47,47,"                                          Pause",0000000000000000000000000000000000000000000000000000000000000000000000000000000000003041555345
19,0x5903B4,61,61,"                                                Schlachthilfe",0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003343484c4143485448494c4645
20,0x5903F2,44,44,"                                        Mono",000000000000000000000000000000000000000000000000000000000000000000000000000000002d4f4e4f
21,0x59041F,55,55,"                                                 Stereo",0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000033544552454f
22,0x590457,52,52,"                                               Breit",00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002252454954
23,0x59048C,54,54,"                                                Normal",0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002e4f524d414c
24,0x5904C3,64,64,"                                               Benutzerdefiniert",000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000022454e55545a4552444546494e49455254
25,0x590504,42,42,"                                    Anfang",000000000000000000000000000000000000000000000000000000000000000000000000214e46414e47
26,0x59052F,55,55,"                                               Speicher",00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003350454943484552
27,0x590567,50,50,"                                             Aktiv",000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000214b544956
28,0x59059A,57,57,"                                                Empfohlen",000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000254d50464f484c454e
29,0x5905D4,50,50,"                                            Warten",000000000000000000000000000000000000000000000000000000000000000000000000000000000000000037415254454e
30,0x590607,51,51,"                                               Auto",00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002155544f
31,0x59063B,53,53,"                                                 Fest",0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000026455354
32,0x590671,49,49,"                                                 ",00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
33,0x5906A3,59,59,"                                                     Langs.",00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002c414e47530e
34,0x5906DF,52,52,"                                               Schn.",00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003343484e0e
35,0x590714,51,51,"                                                ROT",000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000322f34
36,0x590748,54,54,"                                                  GRÜN",00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002732662e
37,0x59077F,53,53,"                                                 BLAU",00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000222c2135
38,0x5907B5,60,60,"                                                 Zauberfolge",000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003a4155424552464f4c4745
39,0x5907F2,49,49,"                                          Heilung",0000000000000000000000000000000000000000000000000000000000000000000000000000000000002845494c554e47
40,0x590824,53,53,"                                              Angriff",00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000214e4752494646
41,0x59085A,54,54,"                                              Indirekt",00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000294e444952454b54
42,0x590891,53,53,"                                             Verboten",000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000364552424f54454e
43,0x5908C7,48,48,"                                             Typ",000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000345950
44,0x5908F8,56,56,"                                                  links2",00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004c494e4b5312
45,0x590931,54,54,"                                               rechts2",000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000052454348545312
46,0x590968,52,52,"                                              links1",000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004c494e4b5311
47,0x59099D,54,54,"                                               rechts1",000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000052454348545311
48,0x5909D4,50,50,"                                              Menü",000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002d454e7f
49,0x590A07,58,58,"                                                 Auswählen",00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000215553576a484c454e
50,0x590A42,53,53,"                                            Abbrechen",000000000000000000000000000000000000000000000000000000000000000000000000000000000000000021424252454348454e
51,0x590A78,47,47,"                                            EXT",0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000253834
52,0x590AA8,55,55,"                                                  Hilfe",000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000028494c4645
53,0x590AE0,79,77,"                                                Zum Einrichten START drücken.",0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003a554d0025494e5249434854454e00b23334213234b30044527f434b454e0e
54,0x590B30,75,75,"                      Zum Beenden Richtungstaste Links oder Rechts drücken.",000000000000000000000000000000000000000000003a554d002245454e44454e003249434854554e47535441535445002c494e4b53004f444552003245434854530044527f434b454e0e
55,0x590B7C,5,5,"Pause",3041555345
56,0x590B82,57,54,"                                                      ",000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000c5b8b7
57,0x590BBC,7,2,"  ",0000bac5b8b8c1
58,0x590BC4,4,0,"",b5bfc8b8
59,0x590BC9,32,32,"       Ton- und Musikeinstellung",00000000000000344f4e0d00554e44002d5553494b45494e5354454c4c554e47
60,0x590BEA,36,36,"                   Nicht unterstützt",000000000000000000000000000000000000002e4943485400554e54455253547f545a54
61,0x590C0F,85,81,"                                     ""S   S ""!    `!:   : `!  !"" ""!!"" ! """" !""!   ",0000000000000000000000000000000000000000000000000000000000000000000000000080023300000033008002ad010000000040011a0000001a004001d6000001020002010102000100020200010201000000
62,0x590C65,0,0,"",
63,0x590C66,0,0,"",
64,0x590C67,0,0,"",
65,0x590C68,6,6,"Objekt",2f424a454b54
66,0x590C6F,19,19,"             Zauber",000000000000000000000000003a4155424552
67,0x590C83,20,20,"             Materia",000000000000000000000000002d415445524941
68,0x590C98,21,21,"            Ausrüsten",000000000000000000000000215553527f5354454e
69,0x590CAE,15,15,"          Werte",000000000000000000003745525445
70,0x590CBE,19,19,"              Reihe",00000000000000000000000000003245494845
71,0x590CD2,19,19,"              Limit",00000000000000000000000000002c494d4954
72,0x590CE6,20,20,"              Konfig",00000000000000000000000000002b4f4e464947
73,0x590CFB,16,16,"             PHS",00000000000000000000000000302833
74,0x590D0C,25,25,"                Speichern",0000000000000000000000000000000033504549434845524e
75,0x590D26,19,19,"          Verlassen",000000000000000000003645524c415353454e
76,0x590D3A,18,18,"          Anfänger",00000000000000000000214e466a4e474552
77,0x590D4D,21,21,"           Verwendung",000000000000000000000036455257454e44554e47
78,0x590D63,19,19,"         Verwendung",00000000000000000036455257454e44554e47
79,0x590D77,13,13,"         Zeit",0000000000000000003a454954
80,0x590D85,18,18,"               Gil",00000000000000000000000000000027494c
81,0x590D98,26,26,"                Nächst. Lv",000000000000000000000000000000002e6a434853540e002c56
82,0x590DB3,20,20,"         Limit-Stufe",0000000000000000002c494d49540d3354554645
83,0x590DC8,17,17,"        Anleitung",0000000000000000214e4c454954554e47
84,0x590DDA,15,15,"          Unter",00000000000000000000354e544552
85,0x590DEA,18,18,"              LV+1",00000000000000000000000000002c360b11
86,0x590DFD,19,19,"               Zorn",0000000000000000000000000000003a4f524e
87,0x590E11,24,24,"               Traurigk.",000000000000000000000000000000345241555249474b0e
88,0x590E2A,432,352,"          !         n`=>ABCeKD@FGHtJfg<$_uva)?snPRSVXY[\]p/0%U^MZoh!""#y*+2,-.345671:8(W9&';`klmxEILNOQTbcdijqrwz{     !""#$%&'()*+ 0         `  `   !        ñp ñ ñ@ ñ<m b!ö  o - p£  £ £ õ £ £ £ £ £ b!ö - b!ö b!ö b!ö b!ö b!ö     n u#ö j o - £ Ü£ :£ õ £ £ £ £ u#ö u#ö - u#ö u#ö u#ö u#ö u#ö     )%($*     """" !""""""##$$     0.  x""  \   *   !   ""      é       ",00000000000000000000010000000000000000004e401d1e212223452b2420262728542a46471c043f555641091f534e3032333638393b3c3d500f1005353e2d3a4f48010203590a0b120c0d0e1314151617111a1808371906071b404b4c4d5825292c2e2f3134424344494a5152575a5b00000000000102030405060708090a0b001000000080000090800080900000809000408090008080900080409000800090808000900100000000000000b00070805000708080007080200070801c4d750042017a00a0be79009b4f7900600d790050e8780000e7780090d17800e0ca74009fbb7800d69d7800e09b78009093780090d1780042017a00600d790042017a0042017a0042017a0042017a0042017a0000000000fd4e750055037a004ac079004f817900f60d7900adeb780066e778001ad27800a5cb740090bd7800909e7800ef9b7800f693780055037a0055037a00f60d790055037a0055037a0055037a0055037a0055037a0000000000090508040a00000000000202000102020203030404000000a08c0000100e0000580200003c0000000a0000000100000002000000b40000006800000000000000bbc3
89,0x590FDB,7,5,"     ",0000000000c0c3
90,0x590FE3,7,5,"     ",0000000000bfc9
91,0x590FEB,133,129,"       !  cy         !   ""   $   %   &   '   (   t   start@of@menu@systemAAA*    end@of@menu@systemAAA*  Mit [ABBRECHEN] beenden.",00000000008500b200b10100004359d900000000000000000001000000020000000400000005000000060000000700000008000000540000005354415254204f46204d454e552053595354454d2121210a00000000454e44204f46204d454e552053595354454d2121210a00002d4954003b21222232252328252e3d004245454e44454e0e
92,0x591071,64,64,"                                   Drücken Sie auf [O.K.] um die",000000000000000000000000000000000000000000000000000000000000000000000024527f434b454e0033494500415546003b2f0e2b0e3d00554d00444945
93,0x5910B2,62,62,"                              Tastenbelegung zu konfigurieren.",00000000000000000000000000000000000000000000000000000000000034415354454e42454c4547554e47005a55004b4f4e4649475552494552454e0e
94,0x5910F1,52,51,"                           Bitte neue Taste drücken",0000000000000000000000000000000000000000000000000000002249545445004e4555450034415354450044527f434b454ea9
95,0x591126,40,40,"                                  [O.K.]",000000000000000000000000000000000000000000000000000000000000000000003b2f0e2b0e3d
96,0x59114F,64,64,"                                                     [ABBRECHEN]",00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003b21222232252328252e3d
97,0x591190,54,54,"                                                [MENÜ]",0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003b2d252e663d
98,0x5911C7,65,65,"                                                     [UMSCHALTEN]",00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003b352d332328212c34252e3d
99,0x591209,58,58,"                                               [BILD HOCH]",00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003b22292c2400282f23283d
100,0x591244,63,63,"                                                [BILD HERUNTER]",0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003b22292c2400282532352e3425323d
101,0x591284,52,52,"                                            [KAMERA]",00000000000000000000000000000000000000000000000000000000000000000000000000000000000000003b2b212d2532213d
102,0x5912B9,57,57,"                                                   [ZIEL]",0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003b3a29252c3d
103,0x5912F3,60,60,"                                                     [HILFE]",00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003b28292c26253d
104,0x591330,59,59,"                                                    [START]",000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003b33342132343d
105,0x59136C,60,60,"                                                    [HERAUF]",000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003b2825322135263d
106,0x5913A9,58,58,"                                                   [UNTEN]",0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003b352e34252e3d
107,0x5913E4,59,59,"                                                    [LINKS]",000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003b2c292e2b333d
108,0x591420,59,59,"                                                    [RECHT]",000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003b32252328343d
109,0x59145C,60,60,"                                                    TASTATUR",000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003421333421343532
110,0x591499,59,59,"                                                   JOYSTICK",0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002a2f39333429232b
111,0x5914D5,3327,2886,"                                                   £@ @ @ @ @ @ @ @ @ @ @ @ @ @ @ @ @ @ @ @ @ @ @ @ @ @ @ @ @ $A 0A 4A 8A <A @A DA HA LA PA TA XA \A `A pA tA xA |A A ãA éA íA ñA £A A A A A A A A A A A A A A A A A A A A A A $B ,B 4B <B DB LB TB \B dB lB xB B éB ñB õB £B B B B B B B B B B B B B B B B B B B $C ,C 4C <C DC LC TC \C dC lC tC |C ãC íC õC C C C C C C C C C C C C C C C C C $D ,D <D DD LD XD \D dD pD xD D ãD ñD £D D D D D D D D D D D D D D D D  E (E 0E 8E @E HE PE XE `E hE pE |E ãE íE õE E E E E E E E E E E E E E E E E  F (F 0F 8F @F HF PF XF `F lF xF F éF ñF £F F F F F F F F F F F F F F F $G ,G 4G <G DG LG TG `G lG xG ãG ñG G G G G G    k   @      ã   `         0                  $         (         !         ""      3!   !     L!   (     e!   0     ~!   `     •!        !   @  !  k   @   !  ã   `   !     0   !        !     $   !     (   !     !   !     ""   !  3!   !  !  L!   (  !  e!   0  !  ~!   `  !  •!     !  !   @  ''%'&'$'#' '!'""'('    )'%&$'""# !(+          ""S   S ""!    `!:   : `! keines  esc Q   R   S   T   U   V   W   X   Y   P      apostrophe  rcktaste   tab q   w   e   r   t   z   u   i   o   p      K   eingabe linke@strg  a   s   d   f   g   h   j   k   l         ~   linker@shift    C   y   x   c   v   b   n   m   komma   punkt   minus   rechter@shift   mal alt leertaste   caps    fQ  fR  fS  fT  fU  fV  fW  fX  fY  fQP numlock scroll  numN@W  numN@X  numN@Y  minus   numN@T  numN@U  numN@V  plus    numN@Q  numN@R  numN@S  numN@P  numN@entf   keines  keines  keines  fQQ fQR keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  fQS fQT fQU keines  keines  keines  keines  keines  keines  keines  keines  keines  kana    keines  keines  keines  keines  keines  keines  keines  keines  convert keines  noconvert   keines  yen keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  numpadequals    keines  keines  circumflex  at  colon   underline   kanji   stop    ax  unlabeled   keines  keines  keines  keines  numN@enter  rechte@strg keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  numN@komma  keines  geteilt keines  prtN@scrn   alt@gr  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  pos@Q   hoch    bN@hoch keines  links   keines  rechts  keines  ende    herunter    bN@runter   einfg   entf    keines  keines  keines  keines  keines  keines  keines  linker@win  rechter@win apps    keines  mousebQ    mousebR    mousebS    keines  hoch    runter  links   rechtes keines  keines  keines  keines  button@Q    button@R    button@S    button@T    button@U    button@V    button@W    button@X    button@Y    button@QP   keines  EôÜÜWèîñõNâÜç  EôÜÜWèîñõNâÜç  ",000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000782099008020990084209900882099008c2099009020990094209900982099009c209900a0209900a4209900a8209900ac209900b0209900bc209900c8209900cc209900d0209900d4209900d8209900dc209900e0209900e4209900e8209900ec209900f0209900f4209900f8209900fc209900042199001021990014219900182199001c2199002021990024219900282199002c2199003021990034219900382199003c219900402199005021990054219900582199005c2199006021990064219900682199006c21990070219900782199008021990088219900982199009c219900a0219900ac219900b4219900b8219900bc219900c0219900c4219900c8219900cc219900d0219900d4219900d8219900dc219900e4219900ec219900f4219900fc219900042299000c229900142299001c229900242299002c229900342299003c229900442299004c22990058229900602299006822990070229900742299007822990080229900882299009022990098229900a0229900a8229900b0229900b8229900c0229900c8229900d0229900d4229900d8229900dc229900e4229900ec229900f4229900fc229900042399000c239900142399001c239900242399002c239900342399003c239900442399004c239900542399005c239900642399006c239900742399007c2399008823990090239900942399009c239900a4239900ac239900b4239900bc239900c4239900cc239900d4239900dc239900e4239900ec239900f4239900fc239900042499000c2499001c249900242499002c249900382499003c249900442499005024990058249900602499006424990070249900782499008024990088249900902499009c249900a8249900b0249900b8249900c0249900c8249900d0249900d8249900e0249900e8249900f0249900f824990000259900082599001025990018259900202599002825990030259900382599004025990048259900502599005c259900642599006c2599007425990080259900882599009025990098259900a0259900a8259900b0259900b8259900c0259900c8259900d0259900d8259900e0259900e8259900f0259900f82599000026990008269900102699001826990020269900282699003026990038269900402699004c269900582699006026990068269900702699007826990080269900882699009026990098269900a0269900ac269900b8269900c0269900c8269900d4269900e0269900ec269900f4269900fc269900042799000c279900142799001c279900242799002c27990034279900402799004c2799005827990064279900702799007c2799008827990094279900a0279900ac279900c80000004b00000020000000c80000006400000040000000c80000007d00000010000000c80000009600000080000000c8000000af00000004000000c8000000c800000008000000c8000000e100000001000000c8000000fa00000002000000c80000001301000000010000c80000002c01000000080000c80000004501000000100000c80000005e01000000400000c80000007701000000800000c80000009001000000200000900100004b00000020000000900100006400000040000000900100007d0000001000000090010000960000008000000090010000af0000000400000090010000c80000000800000090010000e10000000100000090010000fa00000002000000900100001301000000010000900100002c01000000080000900100004501000000100000900100005e010000004000009001000077010000008000009001000090010000002000000707050706070407030700070107020708070000000009070506040702030001080b0000000000000000000080023300000033008002ad010000000040011a0000001a004001d6004b45494e455300004553430031000000320000003300000034000000350000003600000037000000380000003900000030000000df00000041504f5354524f504845000052dc434b54415354450000005441420051000000570000004500000052000000540000005a00000055000000490000004f00000050000000dc0000002b00000045494e47414245004c494e4b45205354524700004100000053000000440000004600000047000000480000004a0000004b0000004c000000d6000000c40000005e0000004c494e4b4552205348494654000000002300000059000000580000004300000056000000420000004e0000004d0000004b4f4d4d4100000050554e4b540000004d494e5553000000524543485445522053484946540000004d414c00414c54004c45455254415354450000004341505300000000463100004632000046330000463400004635000046360000463700004638000046390000463130004e554d4c4f434b005343524f4c4c00004e554d2e203700004e554d2e203800004e554d2e203900004d494e55530000004e554d2e203400004e554d2e203500004e554d2e20360000504c5553000000004e554d2e203100004e554d2e203200004e554d2e203300004e554d2e203000004e554d2e20454e54460000004b45494e455300004b45494e455300004b45494e4553000046313100463132004b45494e455300004b45494e455300004b45494e455300004b45494e455300004b45494e455300004b45494e455300004b45494e455300004b45494e455300004b45494e455300004b45494e455300004b45494e455300004631330046313400463135004b45494e455300004b45494e455300004b45494e455300004b45494e455300004b45494e455300004b45494e455300004b45494e455300004b45494e455300004b45494e455300004b414e41000000004b45494e455300004b45494e455300004b45494e455300004b45494e455300004b45494e455300004b45494e455300004b45494e455300004b45494e45530000434f4e56455254004b45494e455300004e4f434f4e564552540000004b45494e4553000059454e004b45494e455300004b45494e455300004b45494e455300004b45494e455300004b45494e455300004b45494e455300004b45494e455300004b45494e455300004b45494e455300004b45494e455300004b45494e455300004b45494e455300004b45494e455300004b45494e455300004b45494e455300004e554d504144455155414c53000000004b45494e455300004b45494e4553000043495243554d464c4558000041540000434f4c4f4e000000554e4445524c494e450000004b414e4a4900000053544f500000000041580000554e4c4142454c45440000004b45494e455300004b45494e455300004b45494e455300004b45494e455300004e554d2e20454e54455200005245434854452053545247004b45494e455300004b45494e455300004b45494e455300004b45494e455300004b45494e455300004b45494e455300004b45494e455300004b45494e455300004b45494e455300004b45494e455300004b45494e455300004b45494e455300004b45494e455300004b45494e455300004b45494e455300004b45494e455300004b45494e455300004b45494e455300004b45494e455300004b45494e455300004b45494e455300004e554d2e204b4f4d4d4100004b45494e4553000047455445494c54004b45494e455300005052542e205343524e000000414c5420475200004b45494e455300004b45494e455300004b45494e455300004b45494e455300004b45494e455300004b45494e455300004b45494e455300004b45494e455300004b45494e455300004b45494e455300004b45494e455300004b45494e455300004b45494e455300004b45494e45530000504f532031000000484f434800000000422e20484f4348004b45494e455300004c494e4b530000004b45494e4553000052454348545300004b45494e45530000454e444500000000484552554e54455200000000422e2052554e54455200000045494e4647000000454e5446000000004b45494e455300004b45494e455300004b45494e455300004b45494e455300004b45494e455300004b45494e455300004b45494e455300004c494e4b45522057494e0000524543485445522057494e0041505053000000004b45494e455300004d4f5553455f4231000000004d4f5553455f4232000000004d4f5553455f4233000000004b45494e45530000484f43480000000052554e54455200004c494e4b5300000052454348544553004b45494e455300004b45494e455300004b45494e455300004b45494e45530000425554544f4e203100000000425554544f4e203200000000425554544f4e203300000000425554544f4e203400000000425554544f4e203500000000425554544f4e203600000000425554544f4e203700000000425554544f4e203800000000425554544f4e203900000000425554544f4e2031300000004b45494e455300002573666637696e7075742e63666700002573666637696e7075742e6366670000
112,0x5921D5,0,0,"",
113,0x5921D6,0,0,"",
114,0x5921D7,0,0,"",
