FF7 German Sequential String Extraction
================================================================================
Start offset: 0x58FBB0
Total extracted: 100

[  0] 0x58FBB0 | Möchten Sie Final 
[ 53] 0x590B30 |                       Zum Beenden Richtungstaste Links oder Rechts drücken.
[ 54] 0x590B7C | Pause
[ 55] 0x590BC9 |        Ton- und Musikeinstellung
[ 56] 0x590BEA |                    Nicht unterstützt
[ 57] 0x590C0F |                                      "S   S "!    `!:   : `!  !" "!!" ! "" !"!   
[ 58] 0x590C68 | Objekt
[ 59] 0x590C6F |              Zauber
[ 60] 0x590C83 |              Materia
[ 61] 0x590C98 |             Ausrüsten
[ 62] 0x590CAE |           Werte
[ 63] 0x590CBE |               Reihe
[ 64] 0x590CD2 |               Limit
[ 65] 0x590CE6 |               Konfig
[ 66] 0x590CFB |              PHS
[ 67] 0x590D0C |                 Speichern
[ 68] 0x590D26 |           Verlassen
[ 69] 0x590D3A |           Anfänger
[ 70] 0x590D4D |            Verwendung
[ 71] 0x590D63 |          Verwendung
[ 72] 0x590D77 |          Zeit
[ 73] 0x590D85 |                Gil
[ 74] 0x590D98 |                 Nächst. Lv
[ 75] 0x590DB3 |          Limit-Stufe
[ 76] 0x590DC8 |         Anleitung
[ 77] 0x590DDA |           Unter
[ 78] 0x590DEA |               LV+1
[ 79] 0x590DFD |                Zorn
[ 80] 0x590E11 |                Traurigk.
[ 81] 0x590E2A |           !         n`=>ABCeKD@FGHtJfg<$_uva)?snPRSVXY[\]p/0%U^MZoh!"#y*+2,-.345671:8(W9&';`klmxEILNOQTbcdijqrwz{     !"#$%&'()*+ 0         `  `   !        ñp ñ ñ@ ñ<m b!ö  o - p£  £ £ õ £ £ £ £ £ b!ö - b!ö b!ö b!ö b!ö b!ö     n u#ö j o - £ Ü£ :£ õ £ £ £ £ u#ö u#ö - u#ö u#ö u#ö u#ö u#ö     )%($*     "" !"""##$$     0.  x"  \   *   !   "      é       
[ 82] 0x590FEB |        !  cy         !   "   $   %   &   '   (   t   start@of@menu@systemAAA*    end@of@menu@systemAAA*  Mit [ABBRECHEN] beenden.
[ 83] 0x591071 |                                    Drücken Sie auf [O.K.] um die
[ 84] 0x5910B2 |                               Tastenbelegung zu konfigurieren.
[ 85] 0x5910F1 |                            Bitte neue Taste drücken
[ 86] 0x591126 |                                   [O.K.]
[ 87] 0x59114F |                                                      [ABBRECHEN]
[ 88] 0x591190 |                                                 [MENÜ]
[ 89] 0x5911C7 |                                                      [UMSCHALTEN]
[ 90] 0x591209 |                                                [BILD HOCH]
[ 91] 0x591244 |                                                 [BILD HERUNTER]
[ 92] 0x591284 |                                             [KAMERA]
[ 93] 0x5912B9 |                                                    [ZIEL]
[ 94] 0x5912F3 |                                                      [HILFE]
[ 95] 0x591330 |                                                     [START]
[ 96] 0x59136C |                                                     [HERAUF]
[ 97] 0x5913A9 |                                                    [UNTEN]
[ 98] 0x5913E4 |                                                     [LINKS]
[ 99] 0x591420 |                                                     [RECHT]
