en_index,en_offset,en_text,de_offset,de_text,confidence,match_method
60,0x00519714,Now press the new key.,0x59110C,Bitte neue Taste drücken,high,manual_group
61,0x00519746,[OK],0x591148,[O.K.],high,manual_group
62,0x00519778,[CANCEL],0x591184,[ABBRECHEN],high,manual_group
63,0x005197AA,[MENU],0x5911C0,[MENÜ],high,manual_group
64,0x005197DC,[SWITCH],0x5911FC,[UMSCHALTEN],high,manual_group
65,0x0051980E,[PAGEUP],0x591238,[BILD HOCH],high,manual_group
66,0x00519840,[PAGEDOWN],0x591274,[BILD HERUNTER],high,manual_group
67,0x00519872,[CAMERA],0x5912B0,[KAMERA],high,manual_group
68,0x005198A4,[TARGET],0x5912EC,[ZIEL],high,manual_group
69,0x005198D6,[ASSIST],0x591328,[HILFE],high,manual_group
70,0x00519908,[START],0x591364,[START],high,manual_group
71,0x0051993A,[UP],0x5913A0,[HERAUF],high,manual_group
72,0x0051996C,[DOWN],0x5913DC,[UNTEN],high,manual_group
73,0x0051999E,[LEFT],0x591418,[LINKS],high,manual_group
74,0x005199D0,[RIGHT],0x591454,[RECHT],high,manual_group
75,0x00519A02,KEYBOARD,0x591490,TASTATUR,high,manual_group
76,0x00519A34,JOYSTICK,0x5914CC,JOYSTICK,high,manual_group
77,0x00519FE0,ESCAPE,0x591508,[KEYBOARD_DATA_BLOCK: ESCAPE],medium,keyboard_block
78,0x00519FE8,1,0x591508,[KEYBOARD_DATA_BLOCK: 1],medium,keyboard_block
79,0x00519FEC,2,0x591508,[KEYBOARD_DATA_BLOCK: 2],medium,keyboard_block
80,0x00519FF0,3,0x591508,[KEYBOARD_DATA_BLOCK: 3],medium,keyboard_block
81,0x00519FF4,4,0x591508,[KEYBOARD_DATA_BLOCK: 4],medium,keyboard_block
82,0x00519FF8,5,0x591508,[KEYBOARD_DATA_BLOCK: 5],medium,keyboard_block
83,0x00519FFC,6,0x591508,[KEYBOARD_DATA_BLOCK: 6],medium,keyboard_block
84,0x0051A000,7,0x591508,[KEYBOARD_DATA_BLOCK: 7],medium,keyboard_block
85,0x0051A004,8,0x591508,[KEYBOARD_DATA_BLOCK: 8],medium,keyboard_block
86,0x0051A008,9,0x591508,[KEYBOARD_DATA_BLOCK: 9],medium,keyboard_block
87,0x0051A00C,0,0x591508,[KEYBOARD_DATA_BLOCK: 0],medium,keyboard_block
88,0x0051A010,MINUS,0x591508,[KEYBOARD_DATA_BLOCK: MINUS],medium,keyboard_block
89,0x0051A018,EQUALS,0x591508,[KEYBOARD_DATA_BLOCK: EQUALS],medium,keyboard_block
90,0x0051A020,BACK SPACE,0x591508,[KEYBOARD_DATA_BLOCK: BACK SPACE],medium,keyboard_block
91,0x0051A02C,TAB,0x591508,[KEYBOARD_DATA_BLOCK: TAB],medium,keyboard_block
92,0x0051A030,Q,0x591508,[KEYBOARD_DATA_BLOCK: Q],medium,keyboard_block
93,0x0051A034,W,0x591508,[KEYBOARD_DATA_BLOCK: W],medium,keyboard_block
94,0x0051A038,E,0x591508,[KEYBOARD_DATA_BLOCK: E],medium,keyboard_block
95,0x0051A03C,R,0x591508,[KEYBOARD_DATA_BLOCK: R],medium,keyboard_block
96,0x0051A040,T,0x591508,[KEYBOARD_DATA_BLOCK: T],medium,keyboard_block
97,0x0051A044,Y,0x591508,[KEYBOARD_DATA_BLOCK: Y],medium,keyboard_block
98,0x0051A048,U,0x591508,[KEYBOARD_DATA_BLOCK: U],medium,keyboard_block
99,0x0051A04C,I,0x591508,[KEYBOARD_DATA_BLOCK: I],medium,keyboard_block
100,0x0051A050,O,0x591508,[KEYBOARD_DATA_BLOCK: O],medium,keyboard_block
101,0x0051A054,P,0x591508,[KEYBOARD_DATA_BLOCK: P],medium,keyboard_block
102,0x0051A058,LEFT BRACKET,0x591508,[KEYBOARD_DATA_BLOCK: LEFT BRACKET],medium,keyboard_block
103,0x0051A068,RIGHT BRACKET,0x591508,[KEYBOARD_DATA_BLOCK: RIGHT BRACKET],medium,keyboard_block
104,0x0051A078,RETURN,0x591508,[KEYBOARD_DATA_BLOCK: RETURN],medium,keyboard_block
105,0x0051A080,LEFT CONTROL,0x591508,[KEYBOARD_DATA_BLOCK: LEFT CONTROL],medium,keyboard_block
106,0x0051A090,A,0x591508,[KEYBOARD_DATA_BLOCK: A],medium,keyboard_block
107,0x0051A094,S,0x591508,[KEYBOARD_DATA_BLOCK: S],medium,keyboard_block
108,0x0051A098,D,0x591508,[KEYBOARD_DATA_BLOCK: D],medium,keyboard_block
109,0x0051A09C,F,0x591508,[KEYBOARD_DATA_BLOCK: F],medium,keyboard_block
110,0x0051A0A0,G,0x591508,[KEYBOARD_DATA_BLOCK: G],medium,keyboard_block
111,0x0051A0A4,H,0x591508,[KEYBOARD_DATA_BLOCK: H],medium,keyboard_block
112,0x0051A0A8,J,0x591508,[KEYBOARD_DATA_BLOCK: J],medium,keyboard_block
113,0x0051A0AC,K,0x591508,[KEYBOARD_DATA_BLOCK: K],medium,keyboard_block
114,0x0051A0B0,L,0x591508,[KEYBOARD_DATA_BLOCK: L],medium,keyboard_block
115,0x0051A0B4,SEMICOLON,0x591508,[KEYBOARD_DATA_BLOCK: SEMICOLON],medium,keyboard_block
116,0x0051A0C0,APOSTROPHE,0x591508,[KEYBOARD_DATA_BLOCK: APOSTROPHE],medium,keyboard_block
117,0x0051A0CC,GRAVE,0x591508,[KEYBOARD_DATA_BLOCK: GRAVE],medium,keyboard_block
118,0x0051A0D4,LEFT SHIFT,0x591508,[KEYBOARD_DATA_BLOCK: LEFT SHIFT],medium,keyboard_block
119,0x0051A0E0,BACK SLASH,0x591508,[KEYBOARD_DATA_BLOCK: BACK SLASH],medium,keyboard_block
120,0x0051A0EC,Z,0x591508,[KEYBOARD_DATA_BLOCK: Z],medium,keyboard_block
121,0x0051A0F0,X,0x591508,[KEYBOARD_DATA_BLOCK: X],medium,keyboard_block
122,0x0051A0F4,C,0x591508,[KEYBOARD_DATA_BLOCK: C],medium,keyboard_block
123,0x0051A0F8,V,0x591508,[KEYBOARD_DATA_BLOCK: V],medium,keyboard_block
124,0x0051A0FC,B,0x591508,[KEYBOARD_DATA_BLOCK: B],medium,keyboard_block
125,0x0051A100,N,0x591508,[KEYBOARD_DATA_BLOCK: N],medium,keyboard_block
126,0x0051A104,M,0x591508,[KEYBOARD_DATA_BLOCK: M],medium,keyboard_block
127,0x0051A108,COMMA,0x591508,[KEYBOARD_DATA_BLOCK: COMMA],medium,keyboard_block
128,0x0051A110,PERIOD,0x591508,[KEYBOARD_DATA_BLOCK: PERIOD],medium,keyboard_block
129,0x0051A118,SLASH,0x591508,[KEYBOARD_DATA_BLOCK: SLASH],medium,keyboard_block
130,0x0051A120,RIGHT SHIFT,0x591508,[KEYBOARD_DATA_BLOCK: RIGHT SHIFT],medium,keyboard_block
131,0x0051A12C,MULTIPLY,0x591508,[KEYBOARD_DATA_BLOCK: MULTIPLY],medium,keyboard_block
132,0x0051A138,LEFT ALT,0x591508,[KEYBOARD_DATA_BLOCK: LEFT ALT],medium,keyboard_block
133,0x0051A144,SPACE,0x591508,[KEYBOARD_DATA_BLOCK: SPACE],medium,keyboard_block
134,0x0051A14C,CAPS LOCK,0x591508,[KEYBOARD_DATA_BLOCK: CAPS LOCK],medium,keyboard_block
135,0x0051A158,F1,0x591508,[KEYBOARD_DATA_BLOCK: F1],medium,keyboard_block
136,0x0051A15C,F2,0x591508,[KEYBOARD_DATA_BLOCK: F2],medium,keyboard_block
137,0x0051A160,F3,0x591508,[KEYBOARD_DATA_BLOCK: F3],medium,keyboard_block
138,0x0051A164,F4,0x591508,[KEYBOARD_DATA_BLOCK: F4],medium,keyboard_block
139,0x0051A168,F5,0x591508,[KEYBOARD_DATA_BLOCK: F5],medium,keyboard_block
140,0x0051A16C,F6,0x591508,[KEYBOARD_DATA_BLOCK: F6],medium,keyboard_block
141,0x0051A170,F7,0x591508,[KEYBOARD_DATA_BLOCK: F7],medium,keyboard_block
142,0x0051A174,F8,0x591508,[KEYBOARD_DATA_BLOCK: F8],medium,keyboard_block
143,0x0051A178,F9,0x591508,[KEYBOARD_DATA_BLOCK: F9],medium,keyboard_block
144,0x0051A17C,F10,0x591508,[KEYBOARD_DATA_BLOCK: F10],medium,keyboard_block
145,0x0051A180,NUMLOCK,0x591508,[KEYBOARD_DATA_BLOCK: NUMLOCK],medium,keyboard_block
146,0x0051A188,SCROLL,0x591508,[KEYBOARD_DATA_BLOCK: SCROLL],medium,keyboard_block
147,0x0051A190,NUMPAD7,0x591508,[KEYBOARD_DATA_BLOCK: NUMPAD7],medium,keyboard_block
148,0x0051A198,NUMPAD8,0x591508,[KEYBOARD_DATA_BLOCK: NUMPAD8],medium,keyboard_block
149,0x0051A1A0,NUMPAD9,0x591508,[KEYBOARD_DATA_BLOCK: NUMPAD9],medium,keyboard_block
150,0x0051A1A8,SUBTRACT,0x591508,[KEYBOARD_DATA_BLOCK: SUBTRACT],medium,keyboard_block
151,0x0051A1B4,NUMPAD4,0x591508,[KEYBOARD_DATA_BLOCK: NUMPAD4],medium,keyboard_block
152,0x0051A1BC,NUMPAD5,0x591508,[KEYBOARD_DATA_BLOCK: NUMPAD5],medium,keyboard_block
153,0x0051A1C4,NUMPAD6,0x591508,[KEYBOARD_DATA_BLOCK: NUMPAD6],medium,keyboard_block
154,0x0051A1CC,ADD,0x591508,[KEYBOARD_DATA_BLOCK: ADD],medium,keyboard_block
155,0x0051A1D0,NUMPAD1,0x591508,[KEYBOARD_DATA_BLOCK: NUMPAD1],medium,keyboard_block
156,0x0051A1D8,NUMPAD2,0x591508,[KEYBOARD_DATA_BLOCK: NUMPAD2],medium,keyboard_block
157,0x0051A1E0,NUMPAD3,0x591508,[KEYBOARD_DATA_BLOCK: NUMPAD3],medium,keyboard_block
158,0x0051A1E8,NUMPAD0,0x591508,[KEYBOARD_DATA_BLOCK: NUMPAD0],medium,keyboard_block
159,0x0051A1F0,DECIMAL,0x591508,[KEYBOARD_DATA_BLOCK: DECIMAL],medium,keyboard_block
160,0x0051A210,F11,0x591508,[KEYBOARD_DATA_BLOCK: F11],medium,keyboard_block
161,0x0051A214,F12,0x591508,[KEYBOARD_DATA_BLOCK: F12],medium,keyboard_block
162,0x0051A270,F13,0x591508,[KEYBOARD_DATA_BLOCK: F13],medium,keyboard_block
163,0x0051A274,F14,0x591508,[KEYBOARD_DATA_BLOCK: F14],medium,keyboard_block
164,0x0051A278,F15,0x591508,[KEYBOARD_DATA_BLOCK: F15],medium,keyboard_block
165,0x0051A2C4,KANA,0x591508,[KEYBOARD_DATA_BLOCK: KANA],medium,keyboard_block
166,0x0051A30C,CONVERT,0x591508,[KEYBOARD_DATA_BLOCK: CONVERT],medium,keyboard_block
167,0x0051A31C,NOCONVERT,0x591508,[KEYBOARD_DATA_BLOCK: NOCONVERT],medium,keyboard_block
168,0x0051A330,YEN,0x591508,[KEYBOARD_DATA_BLOCK: YEN],medium,keyboard_block
169,0x0051A3AC,NUMPADEQUALS,0x591508,[KEYBOARD_DATA_BLOCK: NUMPADEQUALS],medium,keyboard_block
170,0x0051A3CC,CIRCUMFLEX,0x591508,[KEYBOARD_DATA_BLOCK: CIRCUMFLEX],medium,keyboard_block
171,0x0051A3D8,AT,0x591508,[KEYBOARD_DATA_BLOCK: AT],medium,keyboard_block
172,0x0051A3DC,COLON,0x591508,[KEYBOARD_DATA_BLOCK: COLON],medium,keyboard_block
173,0x0051A3E4,UNDERLINE,0x591508,[KEYBOARD_DATA_BLOCK: UNDERLINE],medium,keyboard_block
174,0x0051A3F0,KANJI,0x591508,[KEYBOARD_DATA_BLOCK: KANJI],medium,keyboard_block
175,0x0051A3F8,STOP,0x591508,[KEYBOARD_DATA_BLOCK: STOP],medium,keyboard_block
176,0x0051A400,AX,0x591508,[KEYBOARD_DATA_BLOCK: AX],medium,keyboard_block
177,0x0051A404,UNLABELED,0x591508,[KEYBOARD_DATA_BLOCK: UNLABELED],medium,keyboard_block
178,0x0051A430,NUMPADENTER,0x591508,[KEYBOARD_DATA_BLOCK: NUMPADENTER],medium,keyboard_block
179,0x0051A43C,RIGHT CONTROL,0x591508,[KEYBOARD_DATA_BLOCK: RIGHT CONTROL],medium,keyboard_block
180,0x0051A4F4,NUMPADCOMMA,0x591508,[KEYBOARD_DATA_BLOCK: NUMPADCOMMA],medium,keyboard_block
181,0x0051A508,DIVIDE,0x591508,[KEYBOARD_DATA_BLOCK: DIVIDE],medium,keyboard_block
182,0x0051A518,SYSRQ,0x591508,[KEYBOARD_DATA_BLOCK: SYSRQ],medium,keyboard_block
183,0x0051A520,RIGHT ALT,0x591508,[KEYBOARD_DATA_BLOCK: RIGHT ALT],medium,keyboard_block
184,0x0051A59C,HOME,0x591508,[KEYBOARD_DATA_BLOCK: HOME],medium,keyboard_block
185,0x0051A5A4,UP,0x591508,[KEYBOARD_DATA_BLOCK: UP],medium,keyboard_block
186,0x0051A5A8,PAGE UP,0x591508,[KEYBOARD_DATA_BLOCK: PAGE UP],medium,keyboard_block
187,0x0051A5B8,LEFT,0x591508,[KEYBOARD_DATA_BLOCK: LEFT],medium,keyboard_block
188,0x0051A5C8,RIGHT,0x591508,[KEYBOARD_DATA_BLOCK: RIGHT],medium,keyboard_block
189,0x0051A5D8,END,0x591508,[KEYBOARD_DATA_BLOCK: END],medium,keyboard_block
190,0x0051A5DC,DOWN,0x591508,[KEYBOARD_DATA_BLOCK: DOWN],medium,keyboard_block
191,0x0051A5E4,PAGE DOWN,0x591508,[KEYBOARD_DATA_BLOCK: PAGE DOWN],medium,keyboard_block
192,0x0051A5F0,INSERT,0x591508,[KEYBOARD_DATA_BLOCK: INSERT],medium,keyboard_block
193,0x0051A5F8,DELETE,0x591508,[KEYBOARD_DATA_BLOCK: DELETE],medium,keyboard_block
194,0x0051A638,LEFT WIN,0x591508,[KEYBOARD_DATA_BLOCK: LEFT WIN],medium,keyboard_block
195,0x0051A644,RIGHT WIN,0x591508,[KEYBOARD_DATA_BLOCK: RIGHT WIN],medium,keyboard_block
196,0x0051A650,APPS,0x591508,[KEYBOARD_DATA_BLOCK: APPS],medium,keyboard_block
197,0x0051A660,MOUSE_B1,0x591508,[KEYBOARD_DATA_BLOCK: MOUSE_B1],medium,keyboard_block
198,0x0051A66C,MOUSE_B2,0x591508,[KEYBOARD_DATA_BLOCK: MOUSE_B2],medium,keyboard_block
199,0x0051A678,MOUSE_B3,0x591508,[KEYBOARD_DATA_BLOCK: MOUSE_B3],medium,keyboard_block
200,0x0051A68C,UP,0x591508,[KEYBOARD_DATA_BLOCK: UP],medium,keyboard_block
201,0x0051A690,DOWN,0x591508,[KEYBOARD_DATA_BLOCK: DOWN],medium,keyboard_block
202,0x0051A698,LEFT,0x591508,[KEYBOARD_DATA_BLOCK: LEFT],medium,keyboard_block
203,0x0051A6A0,RIGHT,0x591508,[KEYBOARD_DATA_BLOCK: RIGHT],medium,keyboard_block
204,0x0051A6C8,BUTTON 1,0x591508,[KEYBOARD_DATA_BLOCK: BUTTON 1],medium,keyboard_block
205,0x0051A6D4,BUTTON 2,0x591508,[KEYBOARD_DATA_BLOCK: BUTTON 2],medium,keyboard_block
206,0x0051A6E0,BUTTON 3,0x591508,[KEYBOARD_DATA_BLOCK: BUTTON 3],medium,keyboard_block
207,0x0051A6EC,BUTTON 4,0x591508,[KEYBOARD_DATA_BLOCK: BUTTON 4],medium,keyboard_block
208,0x0051A6F8,BUTTON 5,0x591508,[KEYBOARD_DATA_BLOCK: BUTTON 5],medium,keyboard_block
209,0x0051A704,BUTTON 6,0x591508,[KEYBOARD_DATA_BLOCK: BUTTON 6],medium,keyboard_block
210,0x0051A710,BUTTON 7,0x591508,[KEYBOARD_DATA_BLOCK: BUTTON 7],medium,keyboard_block
211,0x0051A71C,BUTTON 8,0x591508,[KEYBOARD_DATA_BLOCK: BUTTON 8],medium,keyboard_block
212,0x0051A728,button@Y,0x591508,[KEYBOARD_DATA_BLOCK: button@Y],medium,keyboard_block
213,0x0051A734,button@QP,0x591508,[KEYBOARD_DATA_BLOCK: button@QP],medium,keyboard_block
214,0x0051D1E0,Pause,0x591508,[KEYBOARD_DATA_BLOCK: Pause],medium,keyboard_block
215,0x0051D23C,Sleep,0x591508,[KEYBOARD_DATA_BLOCK: Sleep],medium,keyboard_block
216,0x0051D246,Poison,0x594CBA,Gift,high,translation
217,0x0051D250,Sadness,0x594CC8,Traurigkeit,medium,context
218,0x0051D25A,Fury,0x594CD6,Zorn,high,translation
219,0x0051D264,Confusion,0x594CE4,Verwirrung,high,translation
220,0x0051D26E,Silence,0x594CF2,Stummheit,high,translation
221,0x0051D278,Haste,0x594D00,Schnell,high,translation
222,0x0051D282,Slow,0x594D2A,ã,medium,context
223,0x0051D28C,Stop,0x594D1C,Stop,exact,exact
224,0x0051D2B4,Petrify,0x594D54,Versteinerung,high,translation
225,0x0051D2BE,Regen,0x594D62,regen,exact,exact
226,0x0051D2DC,Reflect,0x594D8C,Reflektieren,high,translation
227,0x0051D2F0,Shield,0x594DA8,Schild,high,translation
228,0x0051D30E,Berserk,0x594DD2,Toll,high,translation
229,0x0051D318,Peerless,0x594DEE,Lähmung,medium,context
230,0x0051D322,Paralyze,0x594E0A,ã,medium,context
231,0x0051D32C,Darkness,0x594DFC,Dunkelheit,high,translation
232,0x0051D3A0,How much will you raise?,0x594E18,ã,medium,context
233,0x0051D3BC,Gil,0x594EA4,Gil,exact,exact
234,0x0051D3C0,After,0x594EA8,Nach,medium,context
235,0x0051D3C8,Gil on hand,0x595080,Ja     Nein,medium,context
236,0x0051D588,Keep goin'?,0x5950AA,Schlitzstart!,medium,context
237,0x0051D598,Of course!     No way!,0x595117,Zaubersubstanz kaputt.,medium,context
238,0x0051D5B0,Current Battle Points,0x5951B2,Alle Substanz kaputt.,medium,context
239,0x0051D5C6,Slot start!,0x59522E,Waffe kaputt.,medium,context
240,0x0051D5DC,GREAT!!,0x59526C,1/2 Genauigkeit.,medium,context
241,0x0051D608,"Then, go for it!",0x595307,5 Ebenen zurück.,medium,context
242,0x0051D628,Magic Materia is broken.,0x595326,10 Ebenen zurück.,medium,context
243,0x0051D648,Summon Materia is broken.,0x5953C1,Jaa! Keine Behinderung!!,medium,context
244,0x0051D668,Support Materia is broken.,0x5953E0,HP wiederhergestellt.,medium,context
245,0x0051D688,Independent Materia is broken.,0x595400,Besorgt um die anderen Mitglieder?,medium,context
246,0x0051D6A8,Command Materia is broken.,0x595446,Eigentlich nicht,medium,context
247,0x0051D6C8,All Materia is broken.,0x595524,"""S   S ""!sè7áè",medium,context
248,0x0051D6E8,Accessory is broken.,0x595538,"$   #   ""   !",medium,context
249,0x0051D708,Item command is sealed.,0x5956A2,Gruppe aus zwei Personen bilden,medium,context
250,0x0051D728,Armor is broken.,0x5956EE,Auswählen mit [START]-Taste,medium,context
251,0x0051D748,Weapon is broken.,,,none,none
252,0x0051D768,1/2 speed.,,,none,none
253,0x0051D788,1/2 accuracy.,,,none,none
254,0x0051D7A8,Minimum,0x59528B,Minimum,exact,exact
255,0x0051D7C8,Poison,0x5952AA,Gift,high,translation
256,0x0051D7E8,Toad,0x5952C9,Kröte,high,translation
257,0x0051D808,Time x30 damage.,0x5952E8,Zeit x30 Schaden.,medium,context
258,0x0051D828,Down 5 levels.,,,none,none
259,0x0051D848,Down 10 levels.,,,none,none
260,0x0051D868,1/2 HP.,0x595345,1/2 HP.,exact,exact
261,0x0051D888,1/2 MP.,0x595364,1/2 MP.,exact,exact
262,0x0051D8A8,1/2 HP&MP.,0x595383,1/2 HP&MP.,exact,exact
263,0x0051D8C8,Zero MP.,0x5953A2,Null MP.,medium,context
264,0x0051D8E8,Yesss! No handicapp!,0x595423,"Ja, ein bichen",medium,context
265,0x0051D908,HP restored.,0x595514,/,medium,context
266,0x0051D928,Worried about the other members?,0x595656,Mitglieden in zwei Gruppen aufteilen,medium,context
267,0x0051D94A,"Yeah, a little",0x5956C8,Gruppe aus drei Personen bilden,medium,context
268,0x0051D96C,Not really,,,none,none
269,0x0051DAE0,Save,,,none,none
270,0x0051DB40,Reform,,,none,none
271,0x0051DB66,Split your allies into two groups.,,,none,none
272,0x0051DB8C,Split your allies into three groups.,,,none,none
273,0x0051DBB2,Please make a party of two.,,,none,none
274,0x0051DBD8,Please make a party of three.,,,none,none
275,0x0051DBFE,Select with START button.,,,none,none
276,0x0051DE22,Wpn.,,,none,none
277,0x0051DE38,Arm.,,,none,none
278,0x0051DE4E,Acc.,0x59593E,Acc.,exact,exact
279,0x0051DED8,LEVEL 1,0x5959E8,STUFE 2,medium,context
280,0x0051DEFC,LEVEL 2,0x595A08,STUFE 3,medium,context
281,0x0051DF20,LEVEL 3,0x595A28,STUFE 4,medium,context
282,0x0051DF44,LEVEL 4,0x595A88,Prüfen,medium,context
283,0x0051DF68,Set BREAK LEVEL.,0x595AE8,STUFE ändern?,medium,context
284,0x0051DF8C,Set,0x595B94,R R 3 1P,medium,context
285,0x0051DFB0,Check,0x595BB0,T T 3!1T,medium,context
286,0x0051DFD4,"To change BREAK LEVEL,",0x595BCC,"S S 3""1X",medium,context
287,0x0051DFF8,it will begin from Limit Point 0.,0x595BE8,U U 3#1f,medium,context
288,0x0051E01C,Change BREAK LEVEL?,0x595C04,V V $1:,medium,context
289,0x0051E040,Yes,0x595B08,Ja,high,translation
290,0x0051E064,No,0x595B28,Nein,high,translation
291,0x0051E088,Limit set!,0x595B68,STUFE wählen,medium,context
292,0x0051E0AC,Select LEVEL.,0x595BB9,_,medium,context
293,0x0051EF40,Fire,0x595BD6,:ö,medium,context
294,0x0051EF4A,Ice,0x595C29,_8£!,medium,context
295,0x0051EF54,Lightning,0x595C58,f f 3'1T,medium,context
296,0x0051EF5E,Earth,0x595CAC,k k 3*1,medium,context
297,0x0051EF68,Poison,0x596A28,Gift,high,translation
298,0x0051EF72,Gravity,0x596A40,Wasser,medium,context
299,0x0051EF7C,Water,0x596A58,Heilig,medium,context
300,0x0051EF86,Wind,0x596A4C,Wind,exact,exact
301,0x0051EF90,Holy,0x596A68,Tod,medium,context
302,0x0051EFA0,Death,0x596A7C,Gefahr,medium,context
303,0x0051EFB4,Near-death,0x596A90,Schlaf,medium,context
304,0x0051EFC8,Sleep,0x594CAC,Schlaf,high,translation
305,0x0051EFDC,Poison,0x596AA4,Gift,high,translation
306,0x0051EFF0,Sadness,0x596AB8,Trauer,medium,context
307,0x0051F004,Fury,0x596ACC,Zorn,high,translation
