# Chunk 005 - Strings 1000 to 1199
# Total in chunk: 200
# Format: OFFSET | DECODED_TEXT

0x5995FE |                   Zauber
0x599617 |                      Zbrvertdg
0x599636 |                   Geschick
0x599651 |                    Glück
0x59966A |                       MAXHP
0x599686 |                       MAXMP
0x5996A2 |                       MAXHP
0x5996BE |                       MAXMP
0x5996DA |                       EXP.UP
0x5996F7 |                      Gil UP
0x599713 |                      Treffen - %
0x599734 |                 Treffen + %
0x599750 |                 Chocobo treffen
0x599770 |             Präventivm. + %
0x59978C |             Fernangriff
0x5997A4 |                 Alle angreifen
0x5997C3 |              Gegenangriff
0x5997DD |                Alle angreifen
0x5997FB |              Ständiger Angriff
0x59981A |           HP/MP-nderung
0x599833 |              Kaufen
0x599847 |                        Verkaufen
0x599868 |                     Beenden
0x599884 |                       Objekt
0x5998A1 |                        Materia
0x5998C0 |                         Kaufen Verkaufen Beenden
0x5998F1 |        Gil
0x5998FC |                             Besitz
0x59991F |                          Ausstattung
0x599944 |                     Gesamt
0x59995F |                          Wieviel
0x599980 |                         Objekt    Materia
0x5999AA |               Übrige Gil
0x5999C3 |                      Preis für Master
0x5999E9 |                Preis durch AP
0x599A07 |                  Waf.
0x599A1D |                  Rüs.
0x599A33 |                  Zub.
0x599A49 |                  Zub.
0x599A5F |                  Stärke
0x599A77 |                Geschick
0x599A8F |              Vitalitä
0x599AA5 |              Zauber
0x599AB9 |                Moral
0x599ACE |                 Glück
0x599AE4 |                 Angreifen
0x599AFE |             Angreifen %
0x599B16 |           Verteidigen
0x599B2C |           Verteidigen %
0x599B44 |         Zbrangrf
0x599B55 |              Zbrvertdg
0x599B6C |             Zbrvertdg %
0x599B84 |           Schlitz:
0x599B97 |              Verstärkung:
0x599BB1 |          Keine
0x599BC0 |                 Normal
0x599BD7 |                Doppelt
0x599BEE |               Dreifach
0x599C18 | Objektladen
0x599C24 |                             Waffengeschäft
0x599C4F |                          Objektladen
0x599C74 |                             Materia-Laden
0x599C9E |                           Gemischtwaren
0x599CC6 |                           Gemüseladen
0x599CEC |                             Zubehörladen
0x599D15 |                            Werkzeugladen
0x599D3E |                           Souvenierladen
0x599D67 |                          Willkommen!
0x599D8C |                                   Was möchtest du kaufen?
0x599DC6 |                       Wie viele willst du davon?
0x599DF7 |                    Was möchtest du verkaufen?
0x599E25 |                    Wie viele willst du verkaufen?
0x599E57 |                Danke!
0x599E6D |                                        Danke!
0x599E9B |                                        Du hast nicht genug Geld!
0x599EF1 |                                                                                            Guten Tag!
0x599F57 |                                    Wie kann ich behilflich sein?
0x599F98 |                 Wie viele willst du davon?
0x599FC3 |                    Hast du was zu verkaufen?
0x599FF0 |                     Wie viele willst du?
0x59A019 |                          Vielen Dank!
0x59A03F |                                  Ihr werdet doch alle zurückkommen!
0x59A083 |            Soll das ein Witz sein? Das ist nicht genug!
