# FF7 German Strings - Standardized Format
# Generated: 2026-01-06 10:45 JST (Tuesday)
# Session: c5687d3e-90a9-47e8-829a-a0c6e70cd98e
# Total strings: 895
#
# Format: [INDEX] OFFSET (BYTES:TEXT_LEN) | TEXT
# ===========================================================================

[   93] 0x5912EC (  57:  6) | [ZIEL]
[   94] 0x591328 (  60:  7) | [HILFE]
[   95] 0x591364 (  59:  7) | [START]
[   96] 0x5913A0 (  60:  8) | [HERAUF]
[   97] 0x5913DC (  58:  7) | [UNTEN]
[   98] 0x591418 (  59:  7) | [LINKS]
[   99] 0x591454 (  59:  7) | [RECHT]
[  100] 0x591490 (  60:  8) | TASTATUR
[  101] 0x5914CC (  59:  8) | JOYSTICK
[  102] 0x591508 (3327:3276) | £@ @ @ @ @ @ @ @ @ @ @ @ @ @ @ @ @ @ @ @ @ @ @ @ @ @ @ @ @ $A 0A 4A 8A <A @A DA HA LA PA TA XA \A `A pA tA xA |A A ãA éA íA ñA £A A A A A A A A A A A A A A A A A A A A A A $B ,B 4B <B DB LB TB \B dB lB xB B éB ñB õB £B B B B B B B B B B B B B B B B B B B $C ,C 4C <C DC LC TC \C dC lC tC |C ãC íC õC C C C C C C C C C C C C C C C C C $D ,D <D DD LD XD \D dD pD xD D ãD ñD £D D D D D D D D D D D D D D D D  E (E 0E 8E @E HE PE XE `E hE pE |E ãE íE õE E E E E E E E E E E E E E E E E  F (F 0F 8F @F HF PF XF `F lF xF F éF ñF £F F F F F F F F F F F F F F F $G ,G 4G <G DG LG TG `G lG xG ãG ñG G G G G G    k   @      ã   `         0                  $         (         !         "      3!   !     L!   (     e!   0     ~!   `     •!        !   @  !  k   @   !  ã   `   !     0   !        !     $   !     (   !     !   !     "   !  3!   !  !  L!   (  !  e!   0  !  ~!   `  !  •!     !  !   @  ''%'&'$'#' '!'"'('    )'%&$'"# !(+          "S   S "!    `!:   : `! keines  esc Q   R   S   T   U   V   W   X   Y   P      apostrophe  rcktaste   tab q   w   e   r   t   z   u   i   o   p      K   eingabe linke@strg  a   s   d   f   g   h   j   k   l         ~   linker@shift    C   y   x   c   v   b   n   m   komma   punkt   minus   rechter@shift   mal alt leertaste   caps    fQ  fR  fS  fT  fU  fV  fW  fX  fY  fQP numlock scroll  numN@W  numN@X  numN@Y  minus   numN@T  numN@U  numN@V  plus    numN@Q  numN@R  numN@S  numN@P  numN@entf   keines  keines  keines  fQQ fQR keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  fQS fQT fQU keines  keines  keines  keines  keines  keines  keines  keines  keines  kana    keines  keines  keines  keines  keines  keines  keines  keines  convert keines  noconvert   keines  yen keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  numpadequals    keines  keines  circumflex  at  colon   underline   kanji   stop    ax  unlabeled   keines  keines  keines  keines  numN@enter  rechte@strg keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  numN@komma  keines  geteilt keines  prtN@scrn   alt@gr  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  keines  pos@Q   hoch    bN@hoch keines  links   keines  rechts  keines  ende    herunter    bN@runter   einfg   entf    keines  keines  keines  keines  keines  keines  keines  linker@win  rechter@win apps    keines  mousebQ    mousebR    mousebS    keines  hoch    runter  links   rechtes keines  keines  keines  keines  button@Q    button@R    button@S    button@T    button@U    button@V    button@W    button@X    button@Y    button@QP   keines  EôÜÜWèîñõNâÜç  EôÜÜWèîñõNâÜç
[  103] 0x5921D8 (10484:10484) | "   ëåõâRáNõèì ëåõâRàNõèì öåîèéNõèì  âïíïáNõèì   âïíïàNõèì   âïíïâNõèì   ëåõâRNõèì  öåîèNõèì    âïíïNõèì    cZ|ffW|ôòâ|ìåî|àõíìåî|çåòìáî|âáííàáâëNâññ ôÜïîõáíNõèì  ôÜïîõàíNõèì  àõí•èîáíNõèì àõí•èîàíNõèì àõí•èîâíNõèì àõí•èîãíNõèì ôÜïîõíNõèì    àõí•èîíNõèì       H          (8!    0  0   88!0 "  (   0 ( "  8   0 ( "  H   0 ( "  X   0 ( "  h   0 ( "  x   0 ( "  é   0 ( "  £   0 ( "     0 ( "     0 ( "     0 ( "     0 ( "     0 ( "     0 ( "     0 ( "     0 ( "  (!  0 ( " 0( 0 0 ( " 08 0 0 ( " 0H 0 0 ( " 0X 0 0 ( " 0h 0 0 ( " 0x 0 0 ( " 0é 0 0 ( " 0£ 0 0 ( " 0 0 0 ( " 0 0 0 ( " 0 0 0 ( " 0 0 0 ( " 0 0 0 ( " 0 0 0 ( " 0 0 0 ( " 0 0 0 ( " 0(!0 0 (      (   88!(       4          (£     0  0   8£ 0 "  (   0 ( "  8   0 ( "  H   0 ( "  X   0 ( "  h   0 ( "  x   0 ( "  é   0 ( " 0( 0 0 ( " 08 0 0 ( " 0H 0 0 ( " 0X 0 0 ( " 0h 0 0 ( " 0x 0 0 ( " 0é 0 0 (      (   8£ (       L          (X!    0  0   8X!0 "  (   0 ( "  8   0 ( "  H   0 ( "  X   0 ( "  h   0 ( "  x   0 ( "  é   0 ( "  £   0 ( "     0 ( "     0 ( "     0 ( "     0 ( "     0 ( "     0 ( "     0 ( "     0 ( "  (!  0 ( " 0( 0 0 ( " 08 0 0 ( " 0H 0 0 ( " 0X 0 0 ( " 0h 0 0 ( " 0x 0 0 ( " 0é 0 0 ( " 0£ 0 0 ( " 0 0 0 ( " 0 0 0 ( " 0 0 0 ( " 0 0 0 ( " 0 0 0 ( " 0 0 0 ( " 0 0 0 ( " 0 0 0 ( " 0(!0 0 (      (   8X!( "  8!  0 ( "  H!  0 ( " 08!0 0 ( " 0H!0 0 (         l!"ñ         "     2!ñ 2!  "ñ                                                                                                                     t!î ñ         !     ñ ñ                                                                                                                            P t!£ P         !     £ P                                                                                                                            P t!£ P         !     £ P                                                                                                                              |!"ñ         "     !ñ !  "ñ                                                                                                                      |!"ñ         !     "ñ                                                                                                                              |!"ñ         "     !ñ !  "ñ                                                                                                                      |!"ñ         "     !ñ !  "ñ                                                                                                                      l!"£                                                                                                                                                |!"£         !     "£                                                                                                                              l!"£                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ã t!!ñ         !      ñ                                                                                                                            ã |!h!õ         !     h!õ                                                                                                                             ã!!ñ     @ ñ !     !ñ                                                                                                                             0  !P         !      !P                                                                                                                           J   <!"P         !     "P                                                                                                                           K  |!0!ñ         !     0!ñ                                                                                                                            @ 0 `"P         !     `"P                                                                                                                           H   |!"ñ         !     "ñ                                                                                                                           H   |!"ñ         !     "ñ                                                                                                                           H   |!"ñ         !     "ñ                                                                                                                           H    `!X         "      X    `!X                                                                                                                    h  W X         !     X X                                                                                                                            8  X 8         !     X 8                                                                                                                            8  X 8         !     X 8                                                                                                                               `!X         "      X    `!X                                                                                                                       `!X         !     `!X                                                                                                                               `!X         "      X    `!X                                                                                                                       `!X         "      X    `!X                                                                                                                       `!\                                                                                                                                                 `!\         !     `!\                                                                                                                               `!\                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      H   X         !     £ X                                                                                                                            R   Z         !      Z                                                                                                                            p   X     0 X !      X                                                                                                                             (  8         !      8                                                                                                                           J    `!8         !     `!8                                                                                                                           K p   X         !      X                                                                                                                            0 ( @!8         !     @!8                                                                                                                           H    `!X         !     `!X                                                                                                                           H    `!X         !     `!X                                                                                                                           H    `!X         !     `!X                                                                                                                           H 9_   _^^^^^^    ^                                       _^^        ^    ^^^                    mX° \° i° j° 9n° )d° f° k° OX° Aw° OX°
[  104] 0x594ACD (  35: 35) | Z° ^X° OX° OX° p° OX° OX° OX° nV°
[  105] 0x594AF1 ( 303:303) | Z° ^X° OX° OX° p° OX° ët° és° äu° OX° OX° OX° rX° ]° i° j° o° d° g° ol° YX° w° YX° D[° cX° YX° YX° {r° YX° YX° YX° V° D[° cX° YX° YX° {r° YX° t° òs° u° YX° YX° YX° Z° $d° j° k° p° f° i° 4n° TX° TX° TX° \° hX° TX° TX° âs° TX° TX° TX° JX° \° hX° TX° TX° âs° TX° åu° Üt° <w° TX° TX° TX°
[  106] 0x594C28 (  25: 21) | 0G#ã * !        !"#%
[  107] 0x594C48 (  12:  5) | Pause
[  108] 0x594C50 (  67: 65) | ß  Z!!\ ì   Xx£ <L\ x"  \   *   !     _    ã
[  109] 0x594C9E (  13:  1) | ã
[  110] 0x594CAC (  18:  6) | Schlaf
[  111] 0x594CBA (  11:  4) | Gift
[  112] 0x594CC8 (  20: 11) | Traurigkeit
[  113] 0x594CD6 (   6:  4) | Zorn
[  114] 0x594CE4 (  19: 10) | Verwirrung
[  115] 0x594CF2 (  12:  9) | Stummheit
[  116] 0x594D00 (  11:  7) | Schnell
[  117] 0x594D0E (  13:  7) | Langsam
[  118] 0x594D1C (  10:  4) | Stop
[  119] 0x594D2A (  10:  1) | ã
[  120] 0x594D38 (  13:  1) | ã
[  121] 0x594D46 (  13:  1) | ã
[  122] 0x594D54 (  25: 13) | Versteinerung
[  123] 0x594D62 (   5:  5) | regen
[  124] 0x594D70 (   9:  1) | ã
[  125] 0x594D7E (  13:  1) | ã
[  126] 0x594D8C (  24: 12) | Reflektieren
[  127] 0x594D9A (   7:  6) | Doppel
[  128] 0x594DA8 (  13:  6) | Schild
[  129] 0x594DB6 (   8:  1) | ã
[  130] 0x594DC4 (  13:  1) | ã
[  131] 0x594DD2 (  16:  4) | Toll
[  132] 0x594DE0 (  20: 11) | Einzigartig
[  133] 0x594DEE (   9:  7) | Lähmung
[  134] 0x594DFC (  16: 10) | Dunkelheit
[  135] 0x594E0A (   4:  1) | ã
[  136] 0x594E18 (  13:  1) | ã
[  137] 0x594E26 (  13:  1) | ã
[  138] 0x594E34 (  13:  1) | ã
[  139] 0x594E42 (  13:  1) | ã
[  140] 0x594E50 (  95: 83) | $             `  `   Rrò `hpx9IY     Wieviel willst du ausgeben?
[  141] 0x594EA4 (   3:  3) | Gil
[  142] 0x594EA8 (   4:  4) | Nach
[  143] 0x594EB0 (  19: 16) | Gil auf der Hand
[  144] 0x594EC8 ( 446:439) | "%$#!"$ !#%"$ %!!"$ "!#%$ "!%$"#"$#"!$ %"!#"$!"%  `   ñ @ ñ ` ñ    @  `      @ `   ñ @ ñ ` ñ    @  `      ` `   ñ @ ñ ` ñ    @  `             `       `        `      `       `              `       `        "$(0    !""""!!!!!!!!!!!! """ !!!!!!!!!!                !! "" !!!!!!!!!!!!! ""  !!!!!!!!                !!!  " " !!!!!!!!!!!  " "  !!!!!                !!!!   "    !!!!"#$%&')())( -*+)      !,Weiter?
[  145] 0x595080 (  11: 11) | Ja     Nein
[  146] 0x595090 (  29: 25) | Vorhandene Schlachtpunkte
[  147] 0x5950AA (  13: 13) | Schlitzstart!
[  148] 0x5950C4 (  18:  6) | TOLL!!
[  149] 0x5950DE (  43: 24) | Gewonnene Schlachtpunkte
[  150] 0x5950F8 (  14: 13) | Ok, dann los!
[  151] 0x595117 (  41: 24) | Zaubersubstanz kaputt.
[  152] 0x595136 (  30: 24) | Aufrufsubstanz kaputt.
[  153] 0x595155 (  32: 26) | Support-Substanz kaputt.
[  154] 0x595174 (  34: 30) | Unabhängige Substanz kaputt.
[  155] 0x595193 (  25: 25) | Befehlssubstanz kaputt.
[  156] 0x5951B2 (  28: 23) | Alle Substanz kaputt.
[  157] 0x5951D1 (  24: 17) | Zubehör kaputt.
[  158] 0x5951F0 (  43: 30) | Objektbefehl ist versiegelt.
[  159] 0x59520F (  18: 18) | Rüstzeug kaputt.
[  160] 0x59522E (  27: 15) | Waffe kaputt.
[  161] 0x59524D (  37: 22) | 1/2 Geschwindigkeit.
[  162] 0x59526C (  26: 18) | 1/2 Genauigkeit.
[  163] 0x59528B (  21:  9) | Minimum
[  164] 0x5952AA (  27:  6) | Gift
[  165] 0x5952C9 (  31:  7) | Kröte
[  166] 0x5952E8 (  42: 19) | Zeit x30 Schaden.
[  167] 0x595307 (  29: 18) | 5 Ebenen zurück.
[  168] 0x595326 (  31: 19) | 10 Ebenen zurück.
[  169] 0x595345 (  20:  9) | 1/2 HP.
[  170] 0x595364 (  30:  9) | 1/2 MP.
[  171] 0x595383 (  33: 12) | 1/2 HP&MP.
[  172] 0x5953A2 (  28: 10) | Null MP.
[  173] 0x5953C1 (  46: 26) | Jaa! Keine Behinderung!!
[  174] 0x5953E0 (  27: 23) | HP wiederhergestellt.
[  175] 0x595400 (  42: 34) | Besorgt um die anderen Mitglieder?
[  176] 0x595423 (  15: 15) | Ja, ein bichen
[  177] 0x595446 (  35: 16) | Eigentlich nicht
[  178] 0x595480 ( 150:144) | 4      £   "   !   &   &   !   !       x   p  @   x    p  @    GWXWsiW:zWx"  \   *   !    `b/ ! 0G  #  ã   *   !   '   `
[  179] 0x595514 (   4:  4) | /
[  180] 0x595524 (  26: 18) | "S   S "!sè7áè
[  181] 0x595538 (  17: 16) | $   #   "   !
[  182] 0x595558 ( 113:113) | QRSTUVWXYZ[\]^`adefgh   jklmnopqrstuvwxyDEGHIJK qu      +! ë c   [!  ç V B v r  l   o!å l   S Speichern
[  183] 0x5955D8 ( 113: 99) | !)  m t!v L!S     "  % j G  K  :     `!e !   S    j : Eôôá°åOôá°åEPRãNÜÜW     Reformieren
[  184] 0x595656 (  62: 36) | Mitglieden in zwei Gruppen aufteilen
[  185] 0x59567C (  37: 36) | Mitglieder in drei Gruppen aufteilen
[  186] 0x5956A2 (  32: 31) | Gruppe aus zwei Personen bilden
[  187] 0x5956C8 (  37: 31) | Gruppe aus drei Personen bilden
[  188] 0x5956EE (  33: 27) | Auswählen mit [START]-Taste
[  189] 0x595718 (  21:  7) | Element
[  190] 0x59572E (  20:  6) | Effekt
[  191] 0x595744 (  24:  9) | Angreifen
[  192] 0x59575A (  23: 11) | Verteidigen
[  193] 0x595770 (  19:  9) | Halbieren
[  194] 0x595786 (  20:  8) | Ungültig
[  195] 0x59579C (  24: 11) | Absorbieren
[  196] 0x5957F4 (  27:  6) | Stärke
[  197] 0x59580A (  23:  8) | Geschick
[  198] 0x595820 (  22:  9) | Vitalität
[  199] 0x595836 (  18:  6) | Zauber
[  200] 0x59584C (  20:  5) | Moral
[  201] 0x595862 (  21:  5) | Glück
[  202] 0x595878 (  25:  9) | Angreifen
[  203] 0x59588E (  23: 11) | Angreifen %
[  204] 0x5958A4 (  21: 11) | Verteidigen
[  205] 0x5958BA (  23: 13) | Verteidigen %
[  206] 0x5958D0 (  16:  8) | Zbrangrf
[  207] 0x5958E6 (  22:  9) | Zbrvertdg
[  208] 0x5958FC (  23: 11) | Zbrvertdg %
[  209] 0x595912 (  14:  4) | Waf.
[  210] 0x595928 (  21:  4) | Rüs.
[  211] 0x59593E (  21:  4) | Acc.
[  212] 0x595954 (  28: 11) | Limit-Ebene
[  213] 0x595978 (  91: 87) | !   S    j :     "S   S S!!S!S m!£ S! m!]!    `!:   :    :  \  r   STUFE 1
[  214] 0x5959E8 (  31:  7) | STUFE 2
[  215] 0x595A08 (  31:  7) | STUFE 3
[  216] 0x595A28 (  31:  7) | STUFE 4
[  217] 0x595A48 (  47: 23) | LIMIT-STUFE einrichten.
[  218] 0x595A68 (  18: 10) | Einrichten
[  219] 0x595A88 (  27:  6) | Prüfen
[  220] 0x595AA8 (  47: 22) | Bei nderung der STUFE
[  221] 0x595AC8 (  34: 25) | Beginn bei Limit-Punkt 0.
[  222] 0x595AE8 (  19: 13) | STUFE ändern?
[  223] 0x595B08 (  20:  2) | Ja
[  224] 0x595B28 (  33:  4) | Nein
[  225] 0x595B48 (  41: 14) | Limit gewählt!
[  226] 0x595B68 (  29: 12) | STUFE wählen
[  227] 0x595B94 (   8:  8) | R R 3 1P
[  228] 0x595BB0 (   8:  8) | T T 3!1T
[  229] 0x595BB9 (   1:  1) | _
[  230] 0x595BBF (   6:  3) | "
[  231] 0x595BCC (   8:  8) | S S 3"1X
[  232] 0x595BD6 (   2:  2) | :ö
[  233] 0x595BE8 (   8:  8) | U U 3#1f
[  234] 0x595C04 (   8:  8) | V V $1:
[  235] 0x595C0F (   2:  1) | &
[  236] 0x595C20 (   8:  8) | Y Y 7%1
[  237] 0x595C29 (   9:  9) | _8£!
[  238] 0x595C3C (   8:  8) | [ \ &1,
[  239] 0x595C47 (   2:  1) | /
[  240] 0x595C58 (   8:  8) | f f 3'1T
[  241] 0x595C74 (   8:  8) | h h 7(1V
[  242] 0x595C90 (   8:  8) | i i 3)C@
[  243] 0x595CA0 (   3:  3) | @
[  244] 0x595CAC (   8:  8) | k k 3*1
[  245] 0x595CB5 (   1:  1) | _
[  246] 0x595CB8 (   6:  6) | !
[  247] 0x595CC8 (   8:  8) | m m 7+1C
[  248] 0x595CE4 (   8:  8) | n n ,1(
[  249] 0x595CEF (   2:  1) | 2
[  250] 0x595D00 (   8:  8) | o o -14
[  251] 0x595D0B (   2:  1) | *
[  252] 0x595D1C (   8:  8) | z z 5.D0
[  253] 0x595D2D (   2:  1) | "
[  254] 0x595D38 (   8:  8) | { { 7/B
[  255] 0x595D41 (   1:  1) | _
[  256] 0x595D44 (   6:  6) | $
[  257] 0x595D54 (   8:  8) | ~ ~ 50B
[  258] 0x595D5D (   1:  1) | ü
[  259] 0x595D60 (   6:  6) | ßV
[  260] 0x595D70 (   7:  7) | à à 51
[  261] 0x595D7A (   1:  1) | 4
[  262] 0x595D8C (   8:  8) | 52B
[  263] 0x595D95 (   1:  1) | _
[  264] 0x595D9B (   6:  3) | !
[  265] 0x595DA8 (   8:  8) | á á 53(@
[  266] 0x595DB1 (   1:  1) | ü
[  267] 0x595DB4 (   6:  6) | !    "
[  268] 0x595DC4 (   8:  8) | â â 54(@
[  269] 0x595DCD (   1:  1) | _
[  270] 0x595DD3 (   6:  3) | ! "
[  271] 0x595DE0 (   8:  8) | ^ ^ 54
[  272] 0x595DEA (   1:  1) | 3
[  273] 0x595DFC (   8:  8) | b b 56
[  274] 0x595E06 (   1:  1) | 3
[  275] 0x595E18 (   8:  8) | ` ` 58
[  276] 0x595E22 (   1:  1) | 3
[  277] 0x595E34 (   8:  8) | a a 5:
[  278] 0x595E3E (   1:  1) | 3
[  279] 0x595E50 (   8:  8) | c c 5<
[  280] 0x595E5A (   1:  1) | 3
[  281] 0x595E6C (   8:  8) | d d 5>
[  282] 0x595E76 (   1:  1) | 3
[  283] 0x595E88 (   8:  8) | e e 5J
[  284] 0x595E92 (   1:  1) | 3
[  285] 0x595EA4 (   8:  8) | ã ã 3<1T
[  286] 0x595EC0 (   8:  8) | å å 3=14
[  287] 0x595EDC (   8:  8) | ç ç 7>1X
[  288] 0x595EE5 (   1:  1) | %
[  289] 0x595EE8 (   6:  6) | !
[  290] 0x595EF8 (   8:  8) | é é 7?1D
[  291] 0x595F14 (   8:  8) | ä ä @17
[  292] 0x595F1D (   9:  9) | ' &!
[  293] 0x595F30 (   8:  8) | í í A12
[  294] 0x595F3B (   2:  1) | (
[  295] 0x595F4C (   8:  8) | ì ì B1+
[  296] 0x595F57 (   2:  1) | 2
[  297] 0x595F61 (   2:  2) | G
[  298] 0x595F66 (  12: 10) | C p p 3C1P
[  299] 0x595F84 (   8:  8) | q q  DB
[  300] 0x595F8D (   9:  9) | _7 !
[  301] 0x595FA0 (   8:  8) | s s 3E14
[  302] 0x595FBC (   8:  8) | u u F1*
[  303] 0x595FC7 (   2:  1) | *
[  304] 0x595FD8 (   8:  8) | v v 5GB
[  305] 0x595FE1 (   9:  9) | _6 !
[  306] 0x595FF4 (   8:  8) | x x H1>
[  307] 0x595FFF (   2:  1) | %
[  308] 0x596010 (   8:  8) | y y 7I1
[  309] 0x59602C (   7:  7) | £ £ 3Jé
[  310] 0x596048 (   7:  7) | 3f1
[  311] 0x596052 (   1:  1) | (
[  312] 0x596064 (   7:  7) | ö ö 7L
[  313] 0x59606E (   1:  1) | /
[  314] 0x596080 (   7:  7) | M
[  315] 0x59608A (   2:  2) | #
[  316] 0x59609C (   7:  7) | N
[  317] 0x5960A6 (   2:  2) | #!
[  318] 0x5960B8 (   7:  7) | O
[  319] 0x5960C2 (   2:  2) | #"
[  320] 0x5960D4 (   7:  7) | P
[  321] 0x5960DE (   2:  2) | ##
[  322] 0x5960F0 (   8:  8) | î î 3Q1R
[  323] 0x59610C (   8:  8) | ô ô 5RD0
